CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue,VALUE
Acadian Near-Boreal Spruce Barrens,2464.000000,Tr Acadian Near-Boreal Spruce Barrens,Tree,692,Conifer,Spruce Flats and Barrens,SAF 13: Black Spruce-Tamarack,Tree-dominated,Open tree canopy,Evergreen open tree canopy,186.000000,163.000000,119.000000,0.729412,0.639216,0.466667,3464
Great Lakes Wooded Dune and Swale,2466.000000,Tr Great Lakes Wooded Dune and Swale,Tree,675,Riparian,Inland Marshes and Prairies,SAF 1: Jack Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,174.000000,245.000000,224.000000,0.682353,0.960784,0.878431,3466
Tamaulipan Floodplain Forest,2467.000000,Tr Tamaulipan Floodplain Forest,Tree,666,Riparian,Eastern Floodplain Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6.000000,53.000000,122.000000,0.023529,0.207843,0.478431,3467
Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,2468.000000,Tr Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,Tree,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,216.000000,216.000000,191.000000,0.847059,0.847059,0.749020,3468
Eastern Great Plains Floodplain Woodland,2469.000000,Tr Eastern Great Plains Floodplain Systems,Tree,666,Riparian,Eastern Floodplain Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6.000000,53.000000,122.000000,0.023529,0.207843,0.478431,3469
Caribbean Coastal Wetland Systems,2470.000000,Tr Caribbean Coastal Wetland Systems,Tree,678,Riparian,Mangrove,SAF 106: Mangrove,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,91.000000,195.000000,199.000000,0.356863,0.764706,0.780392,3470
Central Interior and Appalachian Floodplain Forest,2471.000000,Tr Central Interior and Appalachian Floodplain Systems,Tree,666,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3471
Central Interior and Appalachian Riparian Forest,2472.000000,Tr Central Interior and Appalachian Riparian Systems,Tree,668,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3472
Gulf and Atlantic Coastal Plain Floodplain Forest,2473.000000,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,666,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,145.000000,255.000000,115.000000,0.568627,1.000000,0.450980,3473
Gulf and Atlantic Coastal Plain Small Stream Riparian Woodland,2474.000000,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,668,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,145.000000,255.000000,115.000000,0.568627,1.000000,0.450980,3474
Laurentian-Acadian Floodplain Forest,2475.000000,Tr Laurentian-Acadian Floodplain Systems,Tree,666,Riparian,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,50.000000,137.000000,168.000000,0.196078,0.537255,0.658824,3475
Tamaulipan Riparian Woodland,2476.000000,Tr Tamaulipan Riparian Systems,Tree,668,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,6.000000,53.000000,122.000000,0.023529,0.207843,0.478431,3476
Boreal Acidic Peatland Forest,2477.000000,Tr Boreal Acidic Peatland Systems,Tree,683,Riparian,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,186.000000,163.000000,119.000000,0.729412,0.639216,0.466667,3477
Caribbean Forested Swamp,2478.000000,Tr Caribbean Swamp System,Tree,694,Riparian,Atlantic Swamp Forests,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy,91.000000,195.000000,199.000000,0.356863,0.764706,0.780392,3478
Central Interior and Appalachian Swamp Forest,2479.000000,Tr Central Interior and Appalachian Swamp Systems,Tree,694,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3479
Gulf and Atlantic Coastal Plain Swamp Systems,2480.000000,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,216.000000,216.000000,191.000000,0.847059,0.847059,0.749020,3480
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,2481.000000,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Tree,694,Riparian,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,50.000000,137.000000,168.000000,0.196078,0.537255,0.658824,3481
Great Plains Prairie Pothole,2482.000000,He Great Plains Prairie Pothole,Herb,650,Riparian,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91.000000,195.000000,199.000000,0.356863,0.764706,0.780392,3482
South Florida Everglades Sawgrass Marsh,2483.000000,Tr South Florida Everglades Sawgrass Marsh,Herb,653,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,153.000000,0.000000,1.000000,0.600000,0.000000,3483
East Gulf Coastal Plain Savanna and Wet Prairie,2485.000000,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Herb,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,153.000000,0.000000,1.000000,0.600000,0.000000,3485
Texas Saline Coastal Prairie,2486.000000,He Texas Saline Coastal Prairie,Herb,675,Riparian,Inland Marshes and Prairies,SRM 806: Gulf Coast Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,153.000000,0.000000,1.000000,0.600000,0.000000,3486
Eastern Great Plains Wet Meadow-Prairie-Marsh,2488.000000,He Eastern Great Plains Wet Meadow-Prairie-Marsh,Herb,650,Riparian,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91.000000,195.000000,199.000000,0.356863,0.764706,0.780392,3488
Floridian Highlands Freshwater Marsh Herbaceous,2489.000000,Tr Floridian Highlands Freshwater Marsh,Herb,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,153.000000,0.000000,1.000000,0.600000,0.000000,3489
Gulf and Atlantic Coastal Plain Tidal Marsh Shrubland,2490.000000,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Shrub,653,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,153.000000,0.000000,1.000000,0.600000,0.000000,3490
Acadian Salt Marsh and Estuary Systems,2491.000000,He Acadian Salt Marsh and Estuary Systems,Herb,653,Riparian,Atlantic Coastal Marsh,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,92.000000,38.000000,1.000000,0.360784,0.149020,3491
Great Lakes Coastal Marsh Herbaceous,2492.000000,Sh Great Lakes Coastal Marsh Systems,Herb,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,92.000000,38.000000,1.000000,0.360784,0.149020,3492
Central Interior and Appalachian Herbaceous Wetlands,2493.000000,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,675,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91.000000,195.000000,199.000000,0.356863,0.764706,0.780392,3493
Laurentian-Acadian Forested Wetlands,2494.000000,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Tree,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous open tree canopy,255.000000,92.000000,38.000000,1.000000,0.360784,0.149020,3494
Western Great Plains Depressional Wetland Systems,2495.000000,He Western Great Plains Depressional Wetland Systems,Herb,650,Riparian,Depressional Wetland,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,137.000000,64.000000,1.000000,0.537255,0.250980,3495
Central Interior and Appalachian Sparsely Vegetated Systems,2497.000000,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000,100.000000,100.000000,0.392157,0.392157,0.392157,3497
Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,2498.000000,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000,100.000000,100.000000,0.392157,0.392157,0.392157,3498
Laurentian-Acadian Sparsely Vegetated Systems,2499.000000,Sps Laurentian-Acadian Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100.000000,100.000000,100.000000,0.392157,0.392157,0.392157,3499
Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,2501.000000,Tr Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tree,694,Riparian,Atlantic Swamp Forests,SAF 97: Atlantic White Cedar,Tree-dominated,Open tree canopy,Deciduous open tree canopy,216.000000,216.000000,191.000000,0.847059,0.847059,0.749020,3501
Central Appalachian Dry Oak-Pine Forest,2502.000000,Tr Central Appalachian Dry Oak-Pine Forest,Tree,664,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,13.000000,69.000000,133.000000,0.050980,0.270588,0.521569,3502
Chihuahuan Loamy Plains Desert Grassland,2503.000000,He Chihuahuan Loamy Plains Desert Grassland,Herb,617,Grassland,Grassland,SRM 701: Alkali Sacaton-Tobosa Grass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,204.000000,51.000000,1.000000,0.800000,0.200000,3503
Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,2504.000000,He Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,Herb,650,Riparian,Depressional Wetland,SRM 701: Alkali Sacaton-Tobosa Grass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,204.000000,51.000000,1.000000,0.800000,0.200000,3504
West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,2506.000000,Tr West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,Tree,673,Hardwood,Hardwood Flatwoods,SAF 88: Willow Oak-Water Oak-Diamondleaf Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,145.000000,255.000000,115.000000,0.568627,1.000000,0.450980,3506
Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,2507.000000,Tr Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,Tree,689,Conifer,Shortleaf Pine Woodland,SAF 75: Shortleaf Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,116.000000,214.000000,190.000000,0.454902,0.839216,0.745098,3507
Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,2509.000000,Tr Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Tree,667,Hardwood,White Oak-Beech Forest and Woodland,SAF 53: White Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3509
Crowley's Ridge Sand Forest,2510.000000,Tr Crowley's Ridge Sand Forest,Tree,690,Conifer-Hardwood,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,116.000000,214.000000,190.000000,0.454902,0.839216,0.745098,3510
Appalachian Northern Hardwood Forest,2511.000000,Tr Appalachian Northern Hardwood Forest,Tree,685,Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0.000000,38.000000,115.000000,0.000000,0.149020,0.450980,3511
Appalachian Hemlock-Northern Hardwood Forest,2512.000000,Tr Appalachian Hemlock-Northern Hardwood Forest,Tree,685,Conifer-Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0.000000,38.000000,115.000000,0.000000,0.149020,0.450980,3512
Lower Mississippi River Flatwoods,2513.000000,Tr Lower Mississippi River Flatwoods,Tree,684,Conifer,Pine Flatwoods,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Deciduous closed tree canopy,145.000000,255.000000,115.000000,0.568627,1.000000,0.450980,3513
Paleozoic Plateau Bluff and Talus Woodland,2517.000000,Tr Paleozoic Plateau Bluff and Talus,Tree,663,Hardwood,Black Oak Woodland and Savanna,SAF 110: Black Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3517
North-Central Interior Wet Flatwoods,2518.000000,Tr North-Central Interior Wet Flatwoods,Tree,673,Hardwood,Hardwood Flatwoods,SAF 65: Pin Oak-Sweetgum,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,145.000000,255.000000,115.000000,0.568627,1.000000,0.450980,3518
East-Central Texas Plains Post Oak Savanna and Woodland,2519.000000,Tr East-Central Texas Plains Post Oak Savanna and Woodland,Tree,662,Hardwood,Post Oak Woodland and Savanna,SAF 40: Post Oak-Blackjack Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3519
Northern Atlantic Coastal Plain Heathland,2522.000000,Sh Northern Atlantic Coastal Plain Heathland,Shrub,674,Shrubland,Heathland and Grassland,LF 49: Atlantic Coastal Plain Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,240.000000,165.000000,46.000000,0.941176,0.647059,0.180392,3522
Edwards Plateau Dry-Mesic Slope Forest and Woodland,2523.000000,Tr Edwards Plateau Dry-Mesic Slope Forest and Woodland,Tree,696,Conifer-Hardwood,Juniper-Oak,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34.000000,109.000000,153.000000,0.133333,0.427451,0.600000,3523
Edwards Plateau Mesic Canyon,2524.000000,Tr Edwards Plateau Mesic Canyon,Tree,605,Hardwood,Bigtooth Maple Woodland,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,34.000000,109.000000,153.000000,0.133333,0.427451,0.600000,3524
Edwards Plateau Riparian Woodland,2525.000000,Tr Edwards Plateau Riparian,Tree,668,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,6.000000,53.000000,122.000000,0.023529,0.207843,0.478431,3525
Laurentian-Acadian Swamp Woodland,2526.000000,Tr Laurentian-Acadian Swamp Systems,Tree,694,Riparian,Atlantic Swamp Forests,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous open tree canopy,186.000000,54.000000,14.000000,0.729412,0.211765,0.054902,3526
East Gulf Coastal Plain Interior Oak Forest,2527.000000,Tr East Gulf Coastal Plain Interior Oak Forest,Tree,690,Conifer-Hardwood,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116.000000,214.000000,190.000000,0.454902,0.839216,0.745098,3527
Ruderal Upland Shrubland,2531.000000,Tr Ruderal Upland Vegetation,Shrub,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255.000000,59.000000,20.000000,1.000000,0.231373,0.078431,3528
Ruderal Upland Herbaceous,2531.000000,Tr Ruderal Upland Vegetation,Herb,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255.000000,59.000000,20.000000,1.000000,0.231373,0.078431,3529
Ruderal Upland Forest,2531.000000,Tr Ruderal Upland Vegetation,Tree,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255.000000,59.000000,20.000000,1.000000,0.231373,0.078431,3531
Ruderal Forest-Northern and Central Hardwood and Conifer,2532.000000,Tr Ruderal Forest-Northern and Central Hardwood and Conifer,Tree,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,255.000000,59.000000,20.000000,1.000000,0.231373,0.078431,3532
Ruderal Forest-Southeast Hardwood and Conifer,2533.000000,Tr Ruderal Forest-Southeast Hardwood and Conifer,Tree,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,255.000000,59.000000,20.000000,1.000000,0.231373,0.078431,3533
Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,2534.000000,Tr Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Tree,731,Conifer,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,158.000000,67.000000,14.000000,0.619608,0.262745,0.054902,3534
Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,2535.000000,Tr Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,Tree,731,Conifer,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,158.000000,67.000000,14.000000,0.619608,0.262745,0.054902,3535
Introduced Wetland Vegetation-Tree,2536.000000,Tr Introduced Wetland Vegetation-Tree,Tree,708,Riparian,Introduced Woody Wetland Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0.000000,132.000000,168.000000,0.000000,0.517647,0.658824,3536
Introduced Wetland Vegetation-Herbaceous,2538.000000,He Introduced Wetland Vegetation-Herbaceous,Herb,709,Exotic Herbaceous,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,0.000000,132.000000,168.000000,0.000000,0.517647,0.658824,3538
Modified/Managed Northern Tallgrass Grassland,2539.000000,Sh Modified/Managed Northern Tallgrass Grassland,Herb,711,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,204.000000,0.000000,1.000000,0.800000,0.000000,3539
Modified/Managed Southern Tallgrass Grassland,2540.000000,Sh Modified/Managed Southern Tallgrass Grassland,Herb,711,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,204.000000,0.000000,1.000000,0.800000,0.000000,3540
East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,2546.000000,Tr East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Tree,690,Conifer-Hardwood,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116.000000,214.000000,190.000000,0.454902,0.839216,0.745098,3546
Pinus taeda Forest Alliance,2550.000000,Tr Pinus taeda Forest Alliance,Tree,697,Conifer,Loblolly Pine Forest and Woodland,SAF 81: Loblolly Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,145.000000,255.000000,115.000000,0.568627,1.000000,0.450980,3550
Pinus elliottii Saturated Temperate Woodland Alliance,2551.000000,Tr Pinus elliottii Saturated Temperate Woodland Alliance,Tree,684,Conifer-Hardwood,Pine Flatwoods,SAF 84: Slash Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,13.000000,69.000000,133.000000,0.050980,0.270588,0.521569,3551
Pinus palustris-Pinus elliottii Forest Alliance,2552.000000,Tr Pinus palustris-Pinus elliottii Forest Alliance,Tree,677,Conifer,Longleaf Pine Woodland,SAF 70: Longleaf Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,116.000000,214.000000,204.000000,0.454902,0.839216,0.800000,3552
Mixed Loblolly-Slash Pine,2553.000000,Tr Mixed Loblolly-Slash Pine,Tree,698,Conifer,Loblolly Pine-Slash Pine Forest and Woodland,SAF 83: Longleaf Pine-Slash Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,116.000000,214.000000,204.000000,0.454902,0.839216,0.800000,3553
Acadian Low-Elevation Hardwood Forest,2554.000000,Tr Acadian Low-Elevation Hardwood Forest,Tree,693,Conifer-Hardwood,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,186.000000,54.000000,14.000000,0.729412,0.211765,0.054902,3554
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,2555.000000,Tr Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Tree,693,Conifer-Hardwood,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,186.000000,54.000000,14.000000,0.729412,0.211765,0.054902,3555
Central Appalachian Rocky Oak Woodland,2556.000000,Tr Central Appalachian Rocky Oak Woodland,Tree,664,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13.000000,69.000000,133.000000,0.050980,0.270588,0.521569,3556
Central Appalachian Rocky Pine-Oak Woodland,2557.000000,Tr Central Appalachian Rocky Pine-Oak Woodland,Tree,664,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13.000000,69.000000,133.000000,0.050980,0.270588,0.521569,3557
Edwards Plateau Limestone Grassland,2383.000000,Tr Edwards Plateau Limestone Savanna and Woodland,Herb,662,Hardwood,Post Oak Woodland and Savanna,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34.000000,109.000000,153.000000,0.133333,0.427451,0.600000,3558
Edwards Plateau Limestone Shrubland,2383.000000,Tr Edwards Plateau Limestone Savanna and Woodland,Shrub,662,Hardwood,Post Oak Woodland and Savanna,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34.000000,109.000000,153.000000,0.133333,0.427451,0.600000,3559
Tamaulipan Mesquite Upland Shrub,2391.000000,Tr Tamaulipan Mesquite Upland Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 728: Mesquite-Ganjeno-Acacia,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82.000000,52.000000,34.000000,0.321569,0.203922,0.133333,3560
Llano Uplift Acidic Herbaceous Glade,2410.000000,"Tr Llano Uplift Acidic Forest, Woodland, and Glade",Herb,670,Conifer-Hardwood,Glades and Barrens,SRM 733: Juniper-Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,34.000000,109.000000,153.000000,0.133333,0.427451,0.600000,3561
Tamaulipan Riparian Shrubland,2476.000000,Tr Tamaulipan Riparian Systems,Shrub,668,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,6.000000,53.000000,122.000000,0.023529,0.207843,0.478431,3562
Edwards Plateau Riparian Shrubland,2525.000000,Sh Edwards Plateau Riparian,Shrub,668,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,6.000000,53.000000,122.000000,0.023529,0.207843,0.478431,3563
Modified/Managed Southern Tallgrass Shrubland,2540.000000,Sh Modified/Managed Southern Tallgrass Grassland,Shrub,711,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,204.000000,0.000000,1.000000,0.800000,0.000000,3564
Florida Peninsula Inland Scrub Woodland,2387.000000,Tr Florida Peninsula Inland Scrub,Tree,691,Shrubland,Southern Scrub Oak,SAF 72: Southern Scrub Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,145.000000,255.000000,115.000000,0.568627,1.000000,0.450980,3565
Florida Dry Prairie Shruband,2425.000000,Sh Florida Dry Prairie,Shrub,688,Grassland,Prairies and Barrens,SRM 814: Cabbage Palms Flatwoods,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,116.000000,214.000000,204.000000,0.454902,0.839216,0.800000,3566
Southern Coastal Plain Blackland Prairie Woodland,2430.000000,Tr Southern Coastal Plain Blackland Prairie and Woodland,Tree,688,Grassland,Prairies and Barrens,SAF 46: Eastern Redcedar,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,0.000000,38.000000,115.000000,0.000000,0.149020,0.450980,3567
East Gulf Coastal Plain Jackson Prairie Woodland,2433.000000,Tr East Gulf Coastal Plain Jackson Prairie and Woodland,Tree,688,Grassland,Prairies and Barrens,SRM 717: Little Bluestem-Indiangrass-Texas Wintergrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,148.000000,71.000000,1.000000,0.580392,0.278431,3568
