Site,Transect,Meter,Raw_data_entry,Species,Type,cover,Max_height_cm,Avg_height_cm,Comments,Entered.by,Daniel,Avg.Vol.c,Max.Vol.c,Cover_type,Number_records,mean_Avg.Ratio.L,median_Avg.Ratio.L,SD_Avg.Ratio.L,max_Avg.Ratio.L,min_Avg.Ratio.L,mean_Max.Ratio.L,median_Max.Ratio.L,SD_Max.Ratio.L,max_Max.Ratio.L,min_Max.Ratio.L,Live.Weight_mean.Avg.Ratio.L,Live.Weight_mean.Max.Ratio.L
GRNKAN,1,30,Grasses,BLANK,Grass,1,35,20,,JMP,"In cover, T was replaced by 1",2000,3500,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,4.197723667,5.534753875
GRNKAN,1,30,Soft Loose Litter,BLANK,Soft loose litter,15,1,1,,JMP,,1500,1500,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,206.32767,156.3921355
GRNKAN,1,30,Woody Litter,BLANK,Woody litter,80,12,6,,JMP,,48000,96000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,29162.78349,30544.21051
GRNKAN,1,35,Grasses,BLANK,Grass,1,25,16,,JMP,"In cover, T was replaced by 1",1600,2500,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,3.358178933,3.953395625
GRNKAN,1,35,Soft Loose Litter,BLANK,Soft loose litter,57,4,2,,JMP,,11400,22800,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,1568.090292,2377.16046
GRNKAN,1,35,Soft Rooted Litter,BLANK,Soft rooted litter,3,8,6,,JMP,,1800,2400,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,38.07998741,40.42260355
GRNKAN,1,35,Woody Litter,BLANK,Woody litter,40,5,3,,JMP,,12000,20000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,7290.695872,6363.377189
GRNKAN,1,40,Abies sp. Sapling,Abies sp.,Tree,1,20,15,Seedlings,JMP,"In cover, T was replaced by 1",1500,2000,Tree,1,0.005636364,0.005636364,NA,0.005636364,0.005636364,0.002818182,0.002818182,NA,0.002818182,0.002818182,8.454546,5.636364
GRNKAN,1,40,Soft Loose Litter,BLANK,Soft loose litter,63,3,2,,JMP,,12600,18900,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,1733.152428,1970.540908
GRNKAN,1,40,Soft Rooted Litter,BLANK,Soft rooted litter,10,45,35,,JMP,,35000,45000,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,740.4441996,757.9238166
GRNKAN,1,40,Woody Litter,BLANK,Woody litter,25,7,6,,JMP,,15000,17500,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,9113.36984,5567.95504
GRNKAN,1,45,chamaebatia foliolosa,Chamaebatia foliolosa,Shrub,3,8,5,,JMP,,1500,2400,Shrub,4,0.005340718,0.005514286,0.000428618,0.005623188,0.004711111,0.004390159,0.004326984,0.000189289,0.004666667,0.00424,8.01107625,10.536381
GRNKAN,1,45,Grasses,BLANK,Grass,1,15,10,,JMP,"In cover, T was replaced by 1",1000,1500,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,2.098861833,2.372037375
GRNKAN,1,45,Soft Loose Litter,BLANK,Soft loose litter,77,4,3,,JMP,,23100,30800,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,3177.446118,3211.25185
GRNKAN,1,45,Woody Litter,BLANK,Woody litter,17,4,2,,JMP,,3400,6800,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,2065.697164,2163.548244
GRNKAN,2,0,Grasses,BLANK,Grass,1,17,15,,JMP,"In cover, T was replaced by 1",1500,1700,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,3.14829275,2.688309025
GRNKAN,2,0,lotus crassifolius,Lotus crassifolius,Dominant forb,1,10,8,,JMP,"In cover, T was replaced by 1",800,1000,Dominant forb,2,0.002972222,0.002972222,0.001453498,0.004,0.001944444,0.0020625,0.0020625,0.000854421,0.002666667,0.001458333,2.3777776,2.0625
GRNKAN,2,0,osmorhiza berteroi,Osmorhiza berteroi,Dominant forb,1,9,6,,JMP,,600,900,Dominant forb,1,0.0048,0.0048,NA,0.0048,0.0048,0.002742857,0.002742857,NA,0.002742857,0.002742857,2.88,2.4685713
GRNKAN,2,0,Soft Loose Litter,BLANK,Soft loose litter,91,5,4,,JMP,,36400,45500,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,5006.884792,4743.894778
GRNKAN,2,0,Soft Rooted Litter,BLANK,Soft rooted litter,2,45,10,,JMP,,2000,9000,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,42.31109712,151.5847633
GRNKAN,2,0,Woody Litter,BLANK,Woody litter,7,5,2,,JMP,,1400,3500,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,850.5811851,1113.591008
GRNKAN,2,5,Grasses,BLANK,Grass,1,25,19,,JMP,"In cover, T was replaced by 1",1900,2500,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,3.987837483,3.953395625
GRNKAN,2,5,hieracium albiflorum,Hieracium albiflorum,Dominant forb,1,4,4,,JMP,"In cover, T was replaced by 1",400,400,Dominant forb,1,0.002285714,0.002285714,NA,0.002285714,0.002285714,0.001714286,0.001714286,NA,0.001714286,0.001714286,0.9142856,0.6857144
GRNKAN,2,5,Soft Loose Litter,BLANK,Soft loose litter,72,4,2,,JMP,,14400,28800,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,1980.745632,3002.729002
GRNKAN,2,5,Soft Rooted Litter,BLANK,Soft rooted litter,1,18,14,,JMP,,1400,1800,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,29.61776798,30.31695266
GRNKAN,2,5,Woody Litter,BLANK,Woody litter,25,5,2,,JMP,,5000,12500,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,3037.789947,3977.110743
GRNKAN,2,10,Grasses,BLANK,Grass,1,7,7,,JMP,"In cover, T was replaced by 1",700,700,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,1.469203283,1.106950775
GRNKAN,2,10,Soft Loose Litter,BLANK,Soft loose litter,99,3,3,,JMP,,29700,29700,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,4085.287866,3096.564284
GRNKAN,2,10,Soft Rooted Litter,BLANK,Soft rooted litter,1,15,9,,JMP,,900,1500,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,19.0399937,25.26412722
GRNKAN,2,10,Woody Litter,BLANK,Woody litter,1,1,1,,JMP,"In cover, T was replaced by 1",100,100,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,60.75579893,31.81688594
GRNKAN,2,15,madia or hemizonella sp,Madieae,Dominant forb,2,16,15,unknown,JMP,,3000,3200,Dominant forb,1,0.005,0.005,NA,0.005,0.005,0.002857143,0.002857143,NA,0.002857143,0.002857143,15,9.1428576
GRNKAN,2,15,ozmorhiza bertoroi,Osmorhiza berteroi,Dominant forb,1,9,7,,JMP,"In cover, T was replaced by 1",700,900,Dominant forb,1,0.0048,0.0048,NA,0.0048,0.0048,0.002742857,0.002742857,NA,0.002742857,0.002742857,3.36,2.4685713
GRNKAN,2,15,Soft Loose Litter,BLANK,Soft loose litter,74,3,1,,JMP,,7400,22200,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,1017.883172,2314.603606
GRNKAN,2,15,Woody Litter,BLANK,Woody litter,23,4,2,,JMP,,4600,9200,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,2794.766751,2927.153507
GRNKAN,2,20,chamaebatia foliolosa,Chamaebatia foliolosa,Shrub,1,17,5,,JMP,"In cover, T was replaced by 1",500,1700,Shrub,4,0.005340718,0.005514286,0.000428618,0.005623188,0.004711111,0.004390159,0.004326984,0.000189289,0.004666667,0.00424,2.67035875,7.463269875
GRNKAN,2,20,lotus cassifolius,Lotus crassifolius,Dominant forb,2,14,8,,JMP,,1600,2800,Dominant forb,2,0.002972222,0.002972222,0.001453498,0.004,0.001944444,0.0020625,0.0020625,0.000854421,0.002666667,0.001458333,4.7555552,5.775
GRNKAN,2,20,madin or heizonella sp,Madieae,Dominant forb,1,15,14,,JMP,"In cover, T was replaced by 1",1400,1500,Dominant forb,1,0.005,0.005,NA,0.005,0.005,0.002857143,0.002857143,NA,0.002857143,0.002857143,7,4.2857145
GRNKAN,2,20,Soft Loose Litter,BLANK,Soft loose litter,83,5,3,,JMP,,24900,41500,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,3425.039322,4326.849083
GRNKAN,2,20,Soft Rooted Litter,BLANK,Soft rooted litter,8,24,18,,JMP,,14400,19200,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,304.6398993,323.3808284
GRNKAN,2,20,T2-M20-UNK A,Unknown,Dominant forb,1,4,2,unknown,JMP,"In cover, T was replaced by 1",200,400,Dominant forb,48,0.006737349,0.00330991,0.008166099,0.034222222,0.000446753,0.004333342,0.002488971,0.004294428,0.018666667,0.00040281,1.347469879,1.733336775
GRNKAN,2,20,Woody Litter,BLANK,Woody litter,6,6,5,,JMP,,3000,3600,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,1822.673968,1145.407894
GRNKAN,2,25,lotus cassifolius,Lotus crassifolius,Dominant forb,9,14,12,,JMP,,10800,12600,Dominant forb,2,0.002972222,0.002972222,0.001453498,0.004,0.001944444,0.0020625,0.0020625,0.000854421,0.002666667,0.001458333,32.0999976,25.9875
GRNKAN,2,25,ozmorhiza bertoroi,Osmorhiza berteroi,Dominant forb,1,12,12,,JMP,,1200,1200,Dominant forb,1,0.0048,0.0048,NA,0.0048,0.0048,0.002742857,0.002742857,NA,0.002742857,0.002742857,5.76,3.2914284
GRNKAN,2,25,Soft Loose Litter,BLANK,Soft loose litter,91,3,3,,JMP,,27300,27300,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,3755.163594,2846.336867
GRNKAN,2,25,Soft Rooted Litter,BLANK,Soft rooted litter,2,20,15,,JMP,,3000,4000,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,63.46664568,67.37100592
GRNKAN,2,25,Woody Litter,BLANK,Woody litter,7,7,4,,JMP,,2800,4900,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,1701.16237,1559.027411
GRNKAN,2,30,Grasses,BLANK,Grass,1,20,13,combined with floppy leaf,JMP,"In cover, T was replaced by 1",1300,2000,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,2.728520383,3.1627165
GRNKAN,2,30,ozmorhiza bertoroi,Osmorhiza berteroi,Dominant forb,6,14,11,,JMP,,6600,8400,Dominant forb,1,0.0048,0.0048,NA,0.0048,0.0048,0.002742857,0.002742857,NA,0.002742857,0.002742857,31.68,23.0399988
GRNKAN,2,30,Soft Loose Litter,BLANK,Soft loose litter,95,4,2,,JMP,,19000,38000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,2613.48382,3961.9341
GRNKAN,2,30,Soft Rooted Litter,BLANK,Soft rooted litter,1,21,17,,JMP,,1700,2100,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,35.96443255,35.36977811
GRNKAN,2,30,Woody Litter,BLANK,Woody litter,4,3,3,,JMP,,1200,1200,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,729.0695872,381.8026313
GRNKAN,2,35,Grasses,BLANK,Grass,1,31,15,combined with floppy leaf,JMP,,1500,3100,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,3.14829275,4.902210575
GRNKAN,2,35,Soft Loose Litter,BLANK,Soft loose litter,87,2,2,,JMP,,17400,17400,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,2393.400972,1814.148772
GRNKAN,2,35,Soft Rooted Litter,BLANK,Soft rooted litter,12,44,27,,JMP,,32400,52800,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,685.4397733,889.2972781
GRNKAN,2,35,Woody Litter,BLANK,Woody litter,1,3,3,,JMP,,300,300,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,182.2673968,95.45065783
GRNKAN,2,40,Grasses,BLANK,Grass,2,19,14,combined with floppy leaf,JMP,,2800,3800,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,5.876813133,6.00916135
GRNKAN,2,40,lotus cassifolius,Lotus crassifolius,Dominant forb,1,5,3,,JMP,,300,500,Dominant forb,2,0.002972222,0.002972222,0.001453498,0.004,0.001944444,0.0020625,0.0020625,0.000854421,0.002666667,0.001458333,0.8916666,1.03125
GRNKAN,2,40,ozmorhiza bertoroi,Osmorhiza berteroi,Dominant forb,1,12,9,,JMP,"In cover, T was replaced by 1",900,1200,Dominant forb,1,0.0048,0.0048,NA,0.0048,0.0048,0.002742857,0.002742857,NA,0.002742857,0.002742857,4.32,3.2914284
GRNKAN,2,40,Soft Loose Litter,BLANK,Soft loose litter,93,3,3,,JMP,,27900,27900,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,3837.694662,2908.893721
GRNKAN,2,40,Soft Rooted Litter,BLANK,Soft rooted litter,1,22,20,,JMP,,2000,2200,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,42.31109712,37.05405326
GRNKAN,2,40,Woody Litter,BLANK,Woody litter,4,4,2,,JMP,,800,1600,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,486.0463915,509.0701751
GRNKAN,2,45,chamaebatia foliolosa,Chamaebatia foliolosa,Shrub,2,11,10,,JMP,,2000,2200,Shrub,4,0.005340718,0.005514286,0.000428618,0.005623188,0.004711111,0.004390159,0.004326984,0.000189289,0.004666667,0.00424,10.681435,9.65834925
GRNKAN,2,45,Grasses,BLANK,Grass,1,14,9,,JMP,"In cover, T was replaced by 1",900,1400,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,1.88897565,2.21390155
GRNKAN,2,45,Soft Loose Litter,BLANK,Soft loose litter,82,6,4,,JMP,,32800,49200,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,4511.698384,5129.662046
GRNKAN,2,45,T2-45M-FUZZY LEAF,Unknown,Dominant forb,2,6,4,unknown,JMP,,800,1200,Dominant forb,48,0.006737349,0.00330991,0.008166099,0.034222222,0.000446753,0.004333342,0.002488971,0.004294428,0.018666667,0.00040281,5.389879517,5.200010325
GRNKAN,2,45,Woody Litter,BLANK,Woody litter,18,5,2,,JMP,,3600,9000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,2187.208762,2863.519735
GRNMAS,1,0,Grasses,BLANK,Grass,6,35,27,,JMP,,16200,21000,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,34.0015617,33.20852325
GRNMAS,1,0,Soft Loose Litter,BLANK,Soft loose litter,98,3,3,,JMP,,29400,29400,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,4044.022332,3065.285857
GRNMAS,1,0,Woody Litter,BLANK,Woody litter,2,2,2,,JMP,,400,400,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,243.0231957,127.2675438
GRNMAS,1,5,Grasses,BLANK,Grass,3,37,20,,JMP,,6000,11100,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,12.593171,17.55307658
GRNMAS,1,5,Soft Loose Litter,BLANK,Soft loose litter,96,4,2,,JMP,,19200,38400,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,2640.994176,4003.63867
GRNMAS,1,5,Symphyotrichum sp.,Symphyotrichum sp.,Dominant forb,3,14,11,,JMP,,3300,4200,Dominant forb,1,0.00092,0.00092,NA,0.00092,0.00092,0.000766667,0.000766667,NA,0.000766667,0.000766667,3.036,3.2200014
GRNMAS,1,5,Woody Litter,BLANK,Woody litter,4,3,2,,JMP,,800,1200,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,486.0463915,381.8026313
GRNMAS,1,10,Grasses,BLANK,Grass,7,42,25,,JMP,,17500,29400,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,36.73008208,46.49193255
GRNMAS,1,10,Soft Loose Litter,BLANK,Soft loose litter,100,2,2,,JMP,,20000,20000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,2751.0356,2085.228474
GRNMAS,1,10,Woody Litter,BLANK,Woody litter,1,1,1,,JMP,"In cover, T was replaced by 1. In Max_height_cm and Avg_height_cm, <1 was replaced by 1",100,100,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,60.75579893,31.81688594
GRNMAS,1,15,Grasses,BLANK,Grass,2,20,16,,JMP,,3200,4000,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,6.716357867,6.325433
GRNMAS,1,15,Pinus Seedling,Pinus sp.,Tree,1,7,5,Seedling,JMP,"In cover, T was replaced by 1",500,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,1,15,Soft Loose Litter,BLANK,Soft loose litter,15,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA",NA,NA,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,NA,NA
GRNMAS,1,15,Vicia sp.,Vicia sp.,Dominant forb,1,5,3,,JMP,,300,500,Dominant forb,1,0.0021,0.0021,NA,0.0021,0.0021,0.0014,0.0014,NA,0.0014,0.0014,0.63,0.7
GRNMAS,1,15,Woody Litter,BLANK,Woody litter,1,1,1,,JMP,"In cover, T was replaced by 1. In Max_height_cm and Avg_height_cm, <1 was replaced by 1",100,100,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,60.75579893,31.81688594
GRNMAS,1,20,Abies sp. Seedling,Abies sp.,Tree,1,6,6,Seedlings,JMP,"In cover, T was replaced by 1",600,600,Tree,1,0.005636364,0.005636364,NA,0.005636364,0.005636364,0.002818182,0.002818182,NA,0.002818182,0.002818182,3.3818184,1.6909092
GRNMAS,1,20,Ceanothus cordulatus,Ceanothus cordulatus,Shrub,40,98,80,,JMP,,320000,392000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,2311.863406,2028.584936
GRNMAS,1,20,Grasses,BLANK,Grass,2,24,15,,JMP,,3000,4800,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,6.2965855,7.5905196
GRNMAS,1,20,Pinus Seedling,Pinus sp.,Tree,1,5,5,Seedling,JMP,"In cover, T was replaced by 1",500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,1,20,Soft Loose Litter,BLANK,Soft loose litter,46,1,1,,JMP,,4600,4600,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,632.738188,479.602549
GRNMAS,1,20,Woody Litter,BLANK,Woody litter,6,2,1,,JMP,,600,1200,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,364.5347936,381.8026313
GRNMAS,1,25,Abies magnifica,Abies magnifica,Tree,9,55,37,,JMP,,33300,49500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,1,25,Grasses,BLANK,Grass,1,16,12,,JMP,"In cover, T was replaced by 1",1200,1600,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,2.5186342,2.5301732
GRNMAS,1,25,Pinus Seedling,Pinus sp.,Tree,1,7,5,Seedling,JMP,,500,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,1,25,Soft Loose Litter,BLANK,Soft loose litter,86,2,2,,JMP,,17200,17200,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,2365.890616,1793.296488
GRNMAS,1,25,T1-25M-UNK A (oak fern),Unknown,Dominant forb,6,6,3,,JMP,,1800,3600,Dominant forb,48,0.006737349,0.00330991,0.008166099,0.034222222,0.000446753,0.004333342,0.002488971,0.004294428,0.018666667,0.00040281,12.12722891,15.60003098
GRNMAS,1,25,T1-25M-UNK B (violet?),Unknown,Dominant forb,1,5,5,,JMP,,500,500,Dominant forb,48,0.006737349,0.00330991,0.008166099,0.034222222,0.000446753,0.004333342,0.002488971,0.004294428,0.018666667,0.00040281,3.368674698,2.166670969
GRNMAS,1,25,Woody Litter,BLANK,Woody litter,14,3,2,,JMP,,2800,4200,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,1701.16237,1336.30921
GRNMAS,1,30,Pinus Seedling,Pinus sp.,Tree,1,5,3,Seedling,JMP,"In cover, T was replaced by 1",300,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,1,30,Soft Loose Litter,BLANK,Soft loose litter,76,3,2,,JMP,,15200,22800,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,2090.787056,2377.16046
GRNMAS,1,30,T1-30M-UNK A (fern 1),Unknown,Dominant forb,10,49,30,,JMP,,30000,49000,Dominant forb,48,0.006737349,0.00330991,0.008166099,0.034222222,0.000446753,0.004333342,0.002488971,0.004294428,0.018666667,0.00040281,202.1204819,212.3337549
GRNMAS,1,30,Woody Litter,BLANK,Woody litter,23,3,2,,JMP,,4600,6900,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,2794.766751,2195.36513
GRNMAS,1,35,Soft Loose Litter,BLANK,Soft loose litter,87,2,1,,JMP,,8700,17400,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,1196.700486,1814.148772
GRNMAS,1,35,Soft Rooted Litter,BLANK,Soft rooted litter,1,4,3,lichen (lime/green & white/blue types),JMP,,300,400,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,6.346664568,6.737100592
GRNMAS,1,35,T1-30M-UNK A (fern 1),Unknown,Dominant forb,33,57,35,,JMP,,115500,188100,Dominant forb,48,0.006737349,0.00330991,0.008166099,0.034222222,0.000446753,0.004333342,0.002488971,0.004294428,0.018666667,0.00040281,778.1638552,815.1016184
GRNMAS,1,35,Woody Litter,BLANK,Woody litter,13,6,3,,JMP,,3900,7800,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,2369.476158,2481.717104
GRNMAS,1,40,Soft Loose Litter,BLANK,Soft loose litter,83,3,2,,JMP,,16600,24900,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,2283.359548,2596.10945
GRNMAS,1,40,Symphyotrichum sp.,Symphyotrichum sp.,Dominant forb,44,38,27,,JMP,,118800,167200,Dominant forb,1,0.00092,0.00092,NA,0.00092,0.00092,0.000766667,0.000766667,NA,0.000766667,0.000766667,109.296,128.1867224
GRNMAS,1,40,Vicia sp.,Vicia sp.,Dominant forb,1,5,3,,JMP,"In cover, T was replaced by 1",300,500,Dominant forb,1,0.0021,0.0021,NA,0.0021,0.0021,0.0014,0.0014,NA,0.0014,0.0014,0.63,0.7
GRNMAS,1,40,Woody Litter,BLANK,Woody litter,8,8,5,,JMP,,4000,6400,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,2430.231957,2036.2807
GRNMAS,1,45,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,2,14,12,Seedling,JMP,,2400,2800,Tree,4,0.187606838,0.007880342,0.362952684,0.732,0.002666667,0.065435898,0.007538462,0.1191206,0.244,0.002666667,450.2564106,183.220513
