ID,Site,Date,Transect,Meter,Species,DBH_cm,Intact,State,Height_m,Comments,Entered_by,Range,DBH_inch,Biomass
230,GRNHOU,25-Jul-17,2,15-Oct,Calocedrus decurrens,70.2,Y,UH,,,JMP,,27.6378102,1941.169886
231,GRNHOU,25-Jul-17,2,15-20,Abies concolor,22.5,Y,H,,,JMP,,8.8582725,179.0163045
232,GRNHOU,25-Jul-17,2,20-25,Abies concolor,19.1,N,D,3,,JMP,,7.5196891,51.41043411
233,GRNHOU,25-Jul-17,2,20-25,Abies concolor,29.6,N,D,5,,JMP,,11.6535496,162.0917777
234,GRNHOU,25-Jul-17,2,20-25,Abies concolor,29.7,N,D,5.5,,JMP,,11.6929197,171.8674413
235,GRNHOU,25-Jul-17,2,20-25,Abies concolor,30.3,Y,UH,,,JMP,,11.9291403,374.6611187
236,GRNHOU,25-Jul-17,2,20-25,Abies concolor,37.4,N,D,2.7,,JMP,,14.7244174,202.9211426
237,GRNHOU,25-Jul-17,2,25-30,Abies concolor,31,Y,D,,,JMP,,12.204731,372.7312446
238,GRNHOU,25-Jul-17,2,25-30,Calocedrus decurrens,30.5,Y,H,,,JMP,,12.0078805,295.22215
239,GRNHOU,25-Jul-17,2,35-40,Calocedrus decurrens,24.8,Y,H,,,JMP,,9.7637848,184.9966989
240,GRNHOU,25-Jul-17,2,35-40,Calocedrus decurrens,25.9,Y,H,,,JMP,,10.1968559,204.0542143
241,GRNHOU,25-Jul-17,2,40-45,Abies concolor,20.2,Y,H,,,JMP,,7.9527602,136.9890252
242,GRNHOU,25-Jul-17,2,45-50,Abies concolor,19.6,Y,H,,,JMP,,7.7165396,127.1133319
243,GRNHOU,25-Jul-17,2,45-50,Abies concolor,17.8,Y,H,,,JMP,,7.0078778,100.0873247
244,GRNKAN,31-Jul-17,1,0-5,Pinus sp.,32.5,Y,H,,,JMP,,12.7952825,380.2661847
245,GRNKAN,31-Jul-17,1,0-5,Abies concolor,42.9,Y,H,,,JMP,,16.8897729,887.9048167
246,GRNKAN,31-Jul-17,1,10-May,Abies concolor,49.9,Y,H,,,JMP,,19.6456799,1291.973426
247,GRNKAN,31-Jul-17,1,15-20,Abies concolor,15,Y,H,,,JMP,,5.905515,65.45453431
248,GRNKAN,31-Jul-17,1,15-20,Abies concolor,18.1,Y,H,,,JMP,,7.1259881,104.3255067
249,GRNKAN,31-Jul-17,1,15-20,Abies concolor,34.5,Y,H,,,JMP,,13.5826845,517.0483894
250,GRNKAN,31-Jul-17,1,20-25,Abies concolor,60.4,Y,H,,,JMP,,23.7795404,2075.161716
251,GRNKAN,31-Jul-17,1,20-25,Abies concolor,77.4,Y,H,,,JMP,,30.4724574,3839.800908
252,GRNKAN,31-Jul-17,1,25-30,Pinus sp.,44.2,Y,H,,,JMP,,17.4015842,803.9732431
253,GRNKAN,31-Jul-17,1,25-30,Abies concolor,68,Y,H,,,JMP,,26.771668,2784.674918
254,GRNKAN,31-Jul-17,1,25-30,Abies concolor,49.5,Y,H,,,JMP,,19.4881995,1266.427195
255,GRNKAN,31-Jul-17,1,30-35,Abies concolor,89.3,Y,H,,,JMP,,35.1574993,5475.574562
256,GRNKAN,31-Jul-17,1,45-50,Pinus sp.,30.5,Y,H,,,JMP,,12.0078805,325.7801287
257,GRNKAN,31-Jul-17,1,45-50,Pinus sp.,42.7,Y,H,,,JMP,,16.8110327,739.1485761
258,GRNKAN,31-Jul-17,1,40-45,Pinus sp.,28.3,Y,H,,,JMP,,11.1417383,271.4924168
259,GRNKAN,31-Jul-17,1,30-35,Pinus sp.,24.3,Y,H,,,JMP,,9.5669343,187.3335777
260,GRNKAN,31-Jul-17,1,20-25,Pinus sp.,22.4,Y,H,,,JMP,,8.8189024,153.6461957
261,GRNKAN,31-Jul-17,1,15-20,Pinus sp.,52.9,Y,H,,,JMP,,20.8267829,1245.217248
262,GRNKAN,31-Jul-17,1,15-Oct,Abies concolor,22.7,Y,H,,,JMP,,8.9370127,182.9908815
263,GRNKAN,31-Jul-17,1,10-May,Pinus sp.,18.18,Y,H,,,JMP,,7.15748418,92.42469953
264,GRNKAN,31-Jul-17,1,0-5,Abies concolor,55.2,Y,H,,,JMP,,21.7322952,1659.718805
265,GRNKAN,31-Jul-17,1,0-5,Pinus sp.,21.8,Y,H,,,JMP,,8.5826818,143.8171334
266,GRNKAN,31-Jul-17,2,0-5,Pinus sp.,54.3,Y,H,,,JMP,,21.3779643,1326.988065
267,GRNKAN,31-Jul-17,2,10-May,Pinus sp.,36.5,Y,H,,,JMP,,14.3700865,504.4635681
268,GRNKAN,31-Jul-17,2,15-20,Abies concolor,37.5,Y,H,,,JMP,,14.7637875,635.8989017
269,GRNKAN,31-Jul-17,2,20-25,Abies concolor,32.4,Y,H,,,JMP,,12.7559124,442.438871
270,GRNKAN,31-Jul-17,2,25-30,Pinus sp.,33.3,Y,H,,,JMP,,13.1102433,403.4617574
271,GRNKAN,31-Jul-17,2,35-40,Pinus sp.,35.2,Y,H,,,JMP,,13.8582752,461.8273438
272,GRNKAN,31-Jul-17,2,40-45,Pinus sp.,32.5,Y,H,,,JMP,,12.7952825,380.2661847
273,GRNKAN,31-Jul-17,2,40-45,Abies concolor,25.7,Y,H,,,JMP,,10.1181157,248.9974729
274,GRNKAN,31-Jul-17,2,45-50,Abies concolor,30.9,Y,H,,,JMP,,12.1653609,393.34158
275,GRNKAN,31-Jul-17,2,45-50,Abies concolor,40,Y,H,,,JMP,,15.74804,746.3431473
276,GRNKAN,31-Jul-17,2,45-50,Abies concolor,31.8,Y,H,,,JMP,,12.5196918,422.3860269
277,GRNKAN,31-Jul-17,2,45-50,Abies concolor,43.2,Y,H,,,JMP,,17.0078832,903.3920336
278,GRNKAN,31-Jul-17,2,45-50,Pinus sp.,28.4,Y,H,,,JMP,,11.1811084,273.8342317
279,GRNKAN,31-Jul-17,2,45-50,Abies concolor,15.4,Y,H,,,JMP,,6.0629954,69.87161858
280,GRNKAN,31-Jul-17,2,40-45,Pinus sp.,53.3,Y,H,,,JMP,,20.9842633,1268.267878
281,GRNKAN,31-Jul-17,2,40-45,Abies concolor,49.9,Y,H,,,JMP,,19.6456799,1291.973426
282,GRNKAN,31-Jul-17,2,30-35,Abies concolor,34,Y,H,,,JMP,,13.385834,498.6532706
283,GRNKAN,31-Jul-17,2,25-30,Pinus sp.,38.3,Y,H,,,JMP,,15.0787483,567.1965838
284,GRNKAN,31-Jul-17,2,20-25,Pinus sp.,49.1,Y,H,,,JMP,,19.3307191,1038.525673
285,GRNKAN,31-Jul-17,2,20-25,Pinus sp.,43.3,Y,H,,,JMP,,17.0472533,764.6933096
286,GRNKAN,31-Jul-17,2,15-Oct,Abies concolor,35.4,Y,H,,,JMP,,13.9370154,551.1674751
287,GRNKAN,31-Jul-17,2,10-May,Abies concolor,34.3,Y,H,,,JMP,,13.5039443,509.6425929
288,GRNKAN,31-Jul-17,2,0-5,Abies concolor,38,Y,H,,,JMP,,14.960638,657.146053
289,GRNMAS,15-Aug-17,1,0-5,Pinus ponderosa,40.5,Y,H,,,JMP,,15.9448905,649.8231031
290,GRNMAS,15-Aug-17,1,0-5,Pinus jeffreyi,24.1,Y,H,,,JMP,,9.4881941,183.6014931
291,GRNMAS,15-Aug-17,1,0-5,Pinus jeffreyi,30,Y,H,,,JMP,,11.81103,312.9287424
292,GRNMAS,15-Aug-17,1,10-May,Pinus jeffreyi,35.7,Y,H,,,JMP,,14.0551257,477.9635203
293,GRNMAS,15-Aug-17,1,10-May,Pinus ponderosa,47.5,Y,H,,,JMP,,18.7007975,958.0411905
294,GRNMAS,15-Aug-17,1,10-May,Pinus ponderosa,46.4,Y,H,,,JMP,,18.2677264,904.9144902
295,GRNMAS,15-Aug-17,1,25-30,Pinus ponderosa,18.8,Y,H,,,JMP,,7.4015788,100.2882052
296,GRNMAS,15-Aug-17,1,25-30,Pinus jeffreyi,18.4,Y,H,,,JMP,,7.2440984,95.17170044
297,GRNMAS,15-Aug-17,1,25-30,Pinus jeffreyi,17.5,Y,H,,,JMP,,6.8897675,84.23183393
298,GRNMAS,15-Aug-17,1,25-30,Abies magnifica,26,Y,H,,,JMP,,10.236226,256.2723508
299,GRNMAS,15-Aug-17,1,25-30,Abies magnifica,48.9,Y,H,,,JMP,,19.2519789,1228.677457
300,GRNMAS,15-Aug-17,1,25-30,Calocedrus decurrens,15.1,Y,H,,,JMP,,5.9448851,60.30640791
301,GRNMAS,15-Aug-17,1,25-30,Abies magnifica,38.2,Y,H,,,JMP,,15.0393782,665.7618663
302,GRNMAS,15-Aug-17,1,25-30,Abies concolor,44.1,Y,H,,,JMP,,17.3622141,950.8167045
303,GRNMAS,15-Aug-17,1,25-30,Pinus jeffreyi,26.8,Y,H,,,JMP,,10.5511868,237.7761669
304,GRNMAS,15-Aug-17,1,25-30,Pinus jeffreyi,22.4,Y,H,,,JMP,,8.8189024,153.6461957
305,GRNMAS,15-Aug-17,1,30-35,Pinus jeffreyi,17.7,Y,H,,,JMP,,6.9685077,86.59504016
306,GRNMAS,15-Aug-17,1,30-35,Abies concolor,24.9,Y,H,,,JMP,,9.8031549,230.2056333
307,GRNMAS,15-Aug-17,1,30-35,Abies concolor,18.3,Y,H,,,JMP,,7.2047283,107.2094384
308,GRNMAS,15-Aug-17,1,30-35,Calocedrus decurrens,19.1,Y,H,,,JMP,,7.5196891,102.548503
309,GRNMAS,15-Aug-17,1,30-35,Abies concolor,27.3,Y,H,,,JMP,,10.7480373,289.2550031
310,GRNMAS,15-Aug-17,1,35-40,Pinus jeffreyi,28.9,Y,H,,,JMP,,11.3779589,285.7215971
311,GRNMAS,15-Aug-17,1,40-45,Pinus ponderosa,16.1,Y,H,,,JMP,,6.3385861,68.7548339
312,GRNMAS,15-Aug-17,1,40-45,Pinus jeffreyi,33.5,Y,H,,,JMP,,13.1889835,409.3874381
313,GRNMAS,15-Aug-17,1,45-50,Pinus jeffreyi,30.6,Y,H,,,JMP,,12.0472506,328.387043
314,GRNMAS,15-Aug-17,1,45-50,Pinus jeffreyi,27.7,Y,H,,,JMP,,10.9055177,257.6896059
315,GRNMAS,15-Aug-17,1,45-50,Pinus jeffreyi,34,Y,H,,,JMP,,13.385834,424.4249702
316,GRNMAS,15-Aug-17,1,45-50,Pinus jeffreyi,34.7,Y,H,,,JMP,,13.6614247,446.0167306
317,GRNMAS,15-Aug-17,1,40-45,Calocedrus decurrens,17,Y,H,,,JMP,,6.692917,78.82227124
318,GRNMAS,15-Aug-17,1,40-45,Pinus jeffreyi,27.4,Y,H,,,JMP,,10.7874074,250.9468549
319,GRNMAS,15-Aug-17,1,35-40,Pinus jeffreyi,15.1,Y,H,,,JMP,,5.9448851,58.81578268
320,GRNMAS,15-Aug-17,1,35-40,Pinus jeffreyi,22.2,Y,H,,,JMP,,8.7401622,150.3272695
321,GRNMAS,15-Aug-17,1,35-40,Pinus jeffreyi,17.8,Y,H,,,JMP,,7.0078778,87.79111711
322,GRNMAS,15-Aug-17,1,30-35,Pinus jeffreyi,16,Y,H,,,JMP,,6.299216,67.71964261
323,GRNMAS,15-Aug-17,1,30-35,Pinus jeffreyi,15.8,Y,H,,,JMP,,6.2204758,65.67696157
324,GRNMAS,15-Aug-17,1,30-35,Pinus ponderosa,18.9,Y,H,,,JMP,,7.4409489,101.5920581
325,GRNMAS,15-Aug-17,1,30-35,Pinus jeffreyi,33.4,Y,H,,,JMP,,13.1496134,406.4182334
326,GRNMAS,15-Aug-17,1,30-35,Calocedrus decurrens,32.2,Y,H,,,JMP,,12.6771722,333.7080836
327,GRNMAS,15-Aug-17,1,30-35,Pinus ponderosa,38.3,Y,H,,,JMP,,15.0787483,567.1965838
328,GRNMAS,15-Aug-17,1,25-30,Pinus jeffreyi,23.5,Y,H,,,JMP,,9.2519735,172.6696662
329,GRNMAS,15-Aug-17,1,25-30,Abies magnifica,30.8,Y,H,,,JMP,,12.1259908,390.1904494
330,GRNMAS,15-Aug-17,1,25-30,Abies magnifica,34.9,Y,H,,,JMP,,13.7401649,532.0517814
331,GRNMAS,15-Aug-17,1,25-30,Abies magnifica,41,Y,H,,,JMP,,16.141741,793.5033219
332,GRNMAS,15-Aug-17,1,25-30,Abies concolor,45.9,Y,H,,,JMP,,18.0708759,1050.047354
333,GRNMAS,15-Aug-17,1,25-30,Abies magnifica,44.6,Y,H,,,JMP,,17.5590646,977.7918331
334,GRNMAS,15-Aug-17,1,25-30,Calocedrus decurrens,38.6,Y,H,,,JMP,,15.1968586,502.6165448
335,GRNMAS,15-Aug-17,1,25-30,Abies magnifica,33,Y,H,,,JMP,,12.992133,463.0494552
336,GRNMAS,15-Aug-17,1,15-20,Calocedrus decurrens,24.5,Y,H,,,JMP,,9.6456745,179.9793833
337,GRNMAS,15-Aug-17,1,15-20,Pinus ponderosa,32,Y,H,,,JMP,,12.598432,366.1782914
338,GRNMAS,15-Aug-17,1,15-Oct,Pinus jeffreyi,22.3,Y,H,,,JMP,,8.7795323,151.9813937
339,GRNMAS,15-Aug-17,1,15-Oct,Pinus jeffreyi,21.4,Y,H,,,JMP,,8.4252014,137.4761649
340,GRNMAS,15-Aug-17,1,15-Oct,Pinus jeffreyi,31.2,Y,H,,,JMP,,12.2834712,344.2864516
341,GRNMAS,15-Aug-17,1,10-May,Pinus jeffreyi,27.8,Y,H,,,JMP,,10.9448878,259.9606327
342,GRNMAS,15-Aug-17,1,10-May,Pinus jeffreyi,31.9,Y,H,,,JMP,,12.5590619,363.398262
343,GRNMAS,15-Aug-17,2,15-Oct,UNKNOWN,44.6,N,D,10,"NO BRANCHES, ONLY TRUNK, MAYBE AN OAK",JMP,,17.5590646,472.1305476
344,GRNMAS,15-Aug-17,2,20-25,Calocedrus decurrens,86.7,Y,H,,,JMP,,34.1338767,3127.458004
345,GRNMAS,15-Aug-17,2,20-25,Abies concolor,27.3,Y,H,,,JMP,,10.7480373,289.2550031
346,GRNMAS,15-Aug-17,2,30-35,Abies magnifica,29.8,Y,H,,,JMP,,11.7322898,359.5068128
347,GRNMAS,15-Aug-17,2,35-40,Abies sp.,23,Y,D,,,JMP,,9.055123,177.1303346
348,GRNMAS,15-Aug-17,2,35-40,Pinus ponderosa,22.5,Y,H,,,JMP,,8.8582725,155.3216963
349,GRNMAS,15-Aug-17,2,35-40,Pinus ponderosa,87.7,Y,H,,,JMP,,34.5275777,4263.955087
350,GRNMAS,15-Aug-17,2,35-40,Abies concolor,24.4,Y,H,,,JMP,,9.6063044,218.9051617
351,GRNMAS,15-Aug-17,2,40-45,Calocedrus decurrens,19.5,Y,H,,,JMP,,7.6771695,107.4644785
352,GRNMAS,15-Aug-17,2,40-45,Abies sp.,28.4,Y,D,,,JMP,,11.1811084,299.6582101
353,GRNMAS,15-Aug-17,2,40-45,Abies sp.,19.8,Y,H,,,JMP,,7.7952798,130.3562595
354,GRNMAS,15-Aug-17,2,45-50,Calocedrus decurrens,106.8,N,D,18,,JMP,,42.0472668,3022.978532
355,GRNQUA,07-Aug-17,1,0-5,Abies magnifica,68,Y,H,,,JMP,,26.771668,2784.674918
356,GRNQUA,07-Aug-17,1,0-5,Abies magnifica,28,Y,H,,,JMP,,11.023628,308.0100066
357,GRNQUA,07-Aug-17,1,10-May,Abies magnifica,16,Y,H,,,JMP,,6.299216,76.82281416
358,GRNQUA,07-Aug-17,1,10-May,Abies magnifica,22,Y,H,,,JMP,,8.661422,169.3068491
359,GRNQUA,07-Aug-17,1,10-May,Abies magnifica,40,Y,H,,,JMP,,15.74804,746.3431473
360,GRNQUA,07-Aug-17,1,15-Oct,Abies magnifica,65,Y,H,,,JMP,,25.590565,2489.717605
361,GRNQUA,07-Aug-17,1,15-Oct,Abies magnifica,37,Y,H,,,JMP,,14.566937,615.0673097
362,GRNQUA,07-Aug-17,1,15-20,Abies magnifica,33,Y,H,,,JMP,,12.992133,463.0494552
363,GRNQUA,07-Aug-17,1,15-20,Abies magnifica,39,Y,H,,,JMP,,15.354339,700.8976486
364,GRNQUA,07-Aug-17,1,15-20,Abies magnifica,36,Y,H,,,JMP,,14.173236,574.6400782
365,GRNQUA,07-Aug-17,1,20-25,Abies magnifica,30,Y,H,,,JMP,,11.81103,365.5237231
366,GRNQUA,07-Aug-17,1,25-30,Abies magnifica,51,Y,H,,,JMP,,20.078751,1363.802625
367,GRNQUA,07-Aug-17,1,30-35,Abies magnifica,133,Y,H,,,JMP,,52.362233,14713.37653
368,GRNQUA,07-Aug-17,1,30-35,Abies concolor,15,Y,H,,,JMP,,5.905515,65.45453431
369,GRNQUA,07-Aug-17,1,15-Oct,Abies magnifica,33,Y,H,,,JMP,,12.992133,463.0494552
370,GRNQUA,07-Aug-17,1,15-Oct,Abies magnifica,15,Y,H,,,JMP,,5.905515,65.45453431
371,GRNQUA,07-Aug-17,1,10-May,Abies magnifica,42,Y,H,,,JMP,,16.535442,842.3986774
372,GRNQUA,07-Aug-17,1,10-May,Abies magnifica,20,Y,H,,,JMP,,7.87402,133.6480783
373,GRNQUA,07-Aug-17,1,0-5,Abies magnifica,31,Y,H,,,JMP,,12.204731,396.507854
374,GRNQUA,07-Aug-17,1,0-5,Abies magnifica,21,Y,H,,,JMP,,8.267721,150.8487949
375,GRNQUA,07-Aug-17,1,0-5,Abies magnifica,36,Y,H,,,JMP,,14.173236,574.6400782
376,GRNQUA,07-Aug-17,1,0-5,Abies magnifica,46,Y,H,,,JMP,,18.110246,1055.733179
377,GRNQUA,07-Aug-17,2,0-5,Abies sp.,42,N,D,2,,JMP,,16.535442,242.4143637
378,GRNQUA,07-Aug-17,2,0-5,Abies magnifica,69,Y,H,,,JMP,,27.165369,2887.400457
379,GRNQUA,07-Aug-17,2,0-5,Abies sp.,21,N,D,2,,JMP,,8.267721,53.43877846
380,GRNQUA,07-Aug-17,2,0-5,Abies magnifica,19,N,H,2.5,,JMP,,7.480319,52.16798492
381,GRNQUA,07-Aug-17,2,10-May,Abies magnifica,16,Y,H,,,JMP,,6.299216,76.82281416
382,GRNQUA,07-Aug-17,2,10-May,Abies magnifica,23,Y,H,,,JMP,,9.055123,189.0507216
383,GRNQUA,07-Aug-17,2,10-May,Abies magnifica,15,N,D,5,,JMP,,5.905515,48.18155957
384,GRNQUA,07-Aug-17,2,15-Oct,Abies magnifica,40,Y,H,,,JMP,,15.74804,746.3431473
385,GRNQUA,07-Aug-17,2,15-Oct,Abies magnifica,28,Y,H,,,JMP,,11.023628,308.0100066
386,GRNQUA,07-Aug-17,2,15-Oct,Abies magnifica,17,Y,H,,,JMP,,6.692917,89.29411569
387,GRNQUA,07-Aug-17,2,15-20,Abies magnifica,47,Y,H,,,JMP,,18.503947,1113.603307
388,GRNQUA,07-Aug-17,2,15-20,Abies magnifica,50,Y,H,,,JMP,,19.68505,1298.407621
389,GRNQUA,07-Aug-17,2,45-50,Abies magnifica,43,Y,H,,,JMP,,16.929143,893.0494613
390,GRNQUA,07-Aug-17,2,40-45,Abies magnifica,20,N,D,2,,JMP,,7.87402,50.1364707
391,GRNQUA,07-Aug-17,2,40-45,Abies magnifica,16,N,D,2,,JMP,,6.299216,31.77155434
392,GRNQUA,07-Aug-17,2,25-30,Abies magnifica,35,Y,H,,,JMP,,13.779535,535.8427171
393,GRNQUA,07-Aug-17,2,25-30,Abies magnifica,33,Y,H,,,JMP,,12.992133,463.0494552
394,GRNQUA,07-Aug-17,2,25-30,Abies magnifica,18,N,D,3,,JMP,,7.086618,49.37663222
395,GRNQUA,07-Aug-17,2,25-30,Abies magnifica,23,Y,H,,,JMP,,9.055123,189.0507216
396,GRNQUA,07-Aug-17,2,25-30,Abies magnifica,19,Y,H,,,JMP,,7.480319,117.6755055
397,GRNQUA,07-Aug-17,2,20-25,Abies magnifica,37,Y,H,,,JMP,,14.566937,615.0673097
398,GRNQUA,07-Aug-17,2,20-25,Abies magnifica,59,Y,H,,,JMP,,23.228359,1957.848438
399,GRNQUA,07-Aug-17,2,15-20,Abies magnifica,54,Y,H,,,JMP,,21.259854,1571.6244
400,GRNQUA,07-Aug-17,2,15-20,Abies magnifica,48,Y,H,,,JMP,,18.897648,1173.326538
401,GRNQUA,07-Aug-17,2,15-Oct,Abies magnifica,22,Y,H,,,JMP,,8.661422,169.3068491
402,GRNQUA,07-Aug-17,2,15-Oct,Abies magnifica,22,Y,H,,,JMP,,8.661422,169.3068491
403,GRNQUA,07-Aug-17,2,15-Oct,Abies sp.,30,N,D,7,,JMP,,11.81103,206.4780474
404,GRNQUA,07-Aug-17,2,15-Oct,Abies sp.,24,N,D,3.5,,JMP,,9.448824,90.25783341
405,GRNQUA,07-Aug-17,2,10-May,Abies sp.,25,N,D,10,,JMP,,9.842525,187.1077938
406,GRNQUA,07-Aug-17,2,10-May,Abies magnifica,62,Y,H,,,JMP,,24.409462,2214.254956
407,GRNQUA,07-Aug-17,2,0-5,Abies magnifica,34,N,D,15,,JMP,,13.385834,465.8904903
408,GRNQUA,07-Aug-17,2,0-5,Abies magnifica,19,N,D,8,BENT,JMP,,7.480319,103.7840595
409,GRNSNO,17-Jul-17,1,45-50,Abies magnifica,65.5,Y,H,,,JMP,,25.7874155,2537.511674
410,GRNSNO,17-Jul-17,1,35-40,Abies magnifica,20,Y,H,,,JMP,,7.87402,133.6480783
411,GRNSNO,17-Jul-17,1,30-35,Abies magnifica,16.5,Y,H,,,JMP,,6.4960665,82.91852085
412,GRNSNO,17-Jul-17,1,30-35,Abies magnifica,17,Y,H,,,JMP,,6.692917,89.29411569
413,GRNSNO,17-Jul-17,1,25-30,Abies magnifica,39.5,Y,H,,,JMP,,15.5511895,723.4073554
414,GRNSNO,17-Jul-17,1,25-30,Abies concolor,60.7,Y,H,,,JMP,,23.8976507,2100.831909
415,GRNSNO,17-Jul-17,1,20-25,Abies magnifica,58.8,Y,H,,,JMP,,23.1496188,1941.421273
416,GRNSNO,17-Jul-17,1,15-Oct,Abies magnifica,44.4,Y,H,,,JMP,,17.4803244,966.9477099
417,GRNSNO,17-Jul-17,1,15-Oct,Abies magnifica,29.2,Y,H,,,JMP,,11.4960692,341.8124638
418,GRNSNO,17-Jul-17,1,15-Oct,Abies magnifica,42,Y,H,,,JMP,,16.535442,842.3986774
419,GRNSNO,17-Jul-17,1,15-Oct,Calocedrus decurrens,16,Y,H,,,JMP,,6.299216,68.73320675
420,GRNSNO,17-Jul-17,1,0-5,Abies magnifica,28.7,Y,H,,,JMP,,11.2992187,327.4726435
421,GRNSNO,18-Jul-17,2,0-5,Abies concolor,19.5,Y,H,,,JMP,,7.6771695,125.5101278
422,GRNSNO,18-Jul-17,2,0-5,Abies concolor,37,Y,H,,,JMP,,14.566937,615.0673097
423,GRNSNO,18-Jul-17,2,0-5,Abies concolor,45.4,Y,H,,,JMP,,17.8740254,1021.892662
424,GRNSNO,18-Jul-17,2,10-May,Abies concolor,33.5,Y,H,,,JMP,,13.1889835,480.6545649
425,GRNSNO,18-Jul-17,2,10-May,Abies concolor,33.7,Y,H,,,JMP,,13.2677237,487.8066575
426,GRNSNO,18-Jul-17,2,10-May,Abies magnifica,78,Y,H,,,JMP,,30.708678,3914.086636
427,GRNSNO,18-Jul-17,2,15-Oct,Abies concolor,32.5,Y,H,,,JMP,,12.7952825,445.8351022
428,GRNSNO,18-Jul-17,2,15-Oct,Abies concolor,47.5,Y,H,,,JMP,,18.7007975,1143.2321
429,GRNSNO,18-Jul-17,2,15-Oct,Abies concolor,17.5,Y,H,,,JMP,,6.8897675,95.95365034
430,GRNSNO,18-Jul-17,2,15-Oct,Abies concolor,51.5,Y,H,,,JMP,,20.2756015,1397.221775
431,GRNSNO,18-Jul-17,2,15-20,Abies concolor,31.7,Y,H,,,JMP,,12.4803217,419.0977608
432,GRNSNO,18-Jul-17,2,15-20,Abies concolor,19,Y,H,,,JMP,,7.480319,117.6755055
433,GRNSNO,18-Jul-17,2,15-20,Abies concolor,38.7,Y,H,,,JMP,,15.2362287,687.5952625
434,GRNSNO,18-Jul-17,2,15-20,Abies concolor,30.5,Y,H,,,JMP,,12.0078805,380.8276813
435,GRNSNO,18-Jul-17,2,15-20,Abies concolor,15.7,Y,H,,,JMP,,6.1811057,73.29802699
436,GRNSNO,18-Jul-17,2,15-20,Abies concolor,71.8,Y,H,,,JMP,,28.2677318,3186.941438
437,GRNSNO,18-Jul-17,2,15-20,Abies concolor,35.9,Y,H,,,JMP,,14.1338659,570.6873577
438,GRNSNO,18-Jul-17,2,20-25,Abies concolor,36.5,Y,H,,,JMP,,14.3700865,594.6486003
439,GRNSNO,18-Jul-17,2,20-25,Abies concolor,38.6,Y,H,,,JMP,,15.1968586,683.1949145
440,GRNSNO,18-Jul-17,2,20-25,Abies concolor,52.3,Y,H,,,JMP,,20.5905623,1451.700338
441,GRNSNO,18-Jul-17,2,35-40,Abies concolor,31.5,Y,H,,,JMP,,12.4015815,412.5671978
442,GRNSNO,18-Jul-17,2,40-45,Abies magnifica,58.7,Y,H,,,JMP,,23.1102487,1933.238661
443,GRNSNO,18-Jul-17,2,40-45,Abies magnifica,64.6,Y,H,,,JMP,,25.4330846,2451.872357
444,GRNSNO,18-Jul-17,2,40-45,Abies concolor,23.6,Y,H,,,JMP,,9.2913436,201.5258359
445,GRNSNO,18-Jul-17,2,40-45,Abies concolor,18,Y,H,,,JMP,,7.086618,102.9011152
446,GRNSNO,18-Jul-17,2,40-45,Abies concolor,45.9,Y,H,,,JMP,,18.0708759,1050.047354
447,GRNSNO,18-Jul-17,2,45-50,Abies magnifica,49.5,Y,H,,,JMP,,19.4881995,1266.427195
448,GRNSNO,18-Jul-17,2,45-50,Abies concolor,45.6,Y,H,,,JMP,,17.9527656,1033.099729
449,GRNSNO,18-Jul-17,2,45-50,Abies concolor,73.4,Y,H,,,JMP,,28.8976534,3366.085091
450,GRNTUR,10-Jul-17,1,15-Oct,Tsuga mertensiana,45.7,Y,H,,,JMP,,17.9921357,1038.730649
451,GRNTUR,10-Jul-17,1,15-20,Tsuga mertensiana,28.5,Y,H,,,JMP,,11.2204785,321.8391872
452,GRNTUR,10-Jul-17,1,20-25,Tsuga mertensiana,17,Y,D,,,JMP,,6.692917,83.26340415
453,GRNTUR,10-Jul-17,1,25-30,Abies magnifica,21.2,Y,H,,,JMP,,8.3464612,154.4388974
454,GRNTUR,10-Jul-17,1,25-30,Abies magnifica,18.3,Y,H,,,JMP,,7.2047283,107.2094384
455,GRNTUR,10-Jul-17,1,30-35,Tsuga mertensiana,58.8,Y,H,,,JMP,,23.1496188,1941.421273
456,GRNTUR,10-Jul-17,1,35-40,Tsuga mertensiana,69.9,Y,H,,,JMP,,27.5196999,2981.759084
457,GRNTUR,10-Jul-17,1,10-May,Abies magnifica,32.3,Y,H,,,JMP,,12.7165423,439.0581327
458,GRNTUR,10-Jul-17,1,10-May,Abies magnifica,22.3,Y,H,,,JMP,,8.7795323,175.0937218
459,GRNTUR,10-Jul-17,1,10-May,Abies magnifica,29.7,Y,H,,,JMP,,11.6929197,356.5206917
460,GRNTUR,10-Jul-17,1,10-May,Abies magnifica,50.3,Y,D,,,JMP,,19.8031603,1243.060878
461,GRNTUR,10-Jul-17,1,10-May,Abies magnifica,41.9,Y,D,,,JMP,,16.4960719,789.0653861
462,GRNTUR,10-Jul-17,1,10-May,Tsuga mertensiana,41.5,Y,H,,,JMP,,16.3385915,817.7328306
463,GRNTUR,10-Jul-17,1,15-Oct,Tsuga mertensiana,15.5,Y,H,,,JMP,,6.1023655,71.0028797
464,GRNTUR,10-Jul-17,1,20-25,Tsuga mertensiana,23.7,Y,H,,,JMP,,9.3307137,203.6514154
465,GRNTUR,10-Jul-17,1,25-30,Abies magnifica,24.4,Y,H,,,JMP,,9.6063044,218.9051617
466,GRNTUR,10-Jul-17,1,25-30,Tsuga mertensiana,67,Y,H,,,JMP,,26.377967,2684.163105
