Site,Date,Transect,Meter,Species,Shrub_or_Tree,Height_cm,Width_cm,Length_cm,Tree DBH_cm,Comments,Entered by,Review comment
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,38,102,60,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,30,66,51,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,37,90,86,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,34,150,72,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,44,148,104,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,43,140,150,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,48,124,91,,,AMM,
HICORN,14-Aug-17,1,20-25,Arctostaphylos patula,Shrub,58,40,31,,,AMM,
HICORN,14-Aug-17,1,20-25,Arctostaphylos patula,Shrub,48,85,70,,,AMM,
HICORN,14-Aug-17,1,20-25,Arctostaphylos patula,Shrub,56,30,24,,,AMM,
HICORN,14-Aug-17,1,20-25,Arctostaphylos patula,Shrub,60,48,56,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,39,140,90,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,32,110,88,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,41,55,66,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,48,72,58,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,60,80,120,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,36,116,75,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,30,76,63,,,AMM,
HICORN,14-Aug-17,1,25-30,Arctostaphylos patula,Shrub,50,94,95,,,AMM,
HICORN,14-Aug-17,1,25-30,Arctostaphylos patula,Shrub,79,63,78,,,AMM,
HICORN,14-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,30,110,73,,,AMM,
HICORN,14-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,33,138,99,,,AMM,
HICORN,14-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,34,121,85,,,AMM,
HICORN,14-Aug-17,1,25-30,Symphoricarpos mollis,Shrub,25,103,75,,,AMM,
HICORN,14-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,32,105,110,,,AMM,
HICORN,14-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,32,79,101,,,AMM,
HICORN,14-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,43,77,102,,,AMM,
HICORN,14-Aug-17,1,30-35,Frangula rubra,Shrub,64,53,54,,,AMM,
HICORN,14-Aug-17,1,35-40,Frangula rubra,Shrub,56,40,43,,,AMM,
HICORN,14-Aug-17,1,35-40,Arctostaphylos patula,Shrub,58,44,40,,,AMM,
HICORN,14-Aug-17,1,35-40,Arctostaphylos patula,Shrub,53,86,54,,,AMM,
HICORN,14-Aug-17,1,35-40,Arctostaphylos patula,Shrub,80,70,98,,,AMM,
HICORN,14-Aug-17,1,35-40,Frangula rubra,Shrub,160,150,150,,,AMM,
HICORN,14-Aug-17,1,35-40,Frangula rubra,Shrub,146,170,115,,,AMM,
HICORN,14-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,32,114,71,,,AMM,
HICORN,14-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,38,95,92,,,AMM,
HICORN,14-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,34,88,140,,,AMM,
HICORN,14-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,33,110,118,,,AMM,
HICORN,14-Aug-17,1,40-45,Symphoricarpos mollis,Shrub,22,160,120,,,AMM,
HICORN,14-Aug-17,1,40-45,Frangula rubra,Shrub,180,190,180,,,AMM,
HICORN,14-Aug-17,1,40-45,Frangula rubra,Shrub,190,160,120,,,AMM,
HICORN,14-Aug-17,1,40-45,Frangula rubra,Shrub,190,143,150,,,AMM,
HICORN,14-Aug-17,1,40-45,Ceanothus cordulatus,Shrub,53,100,96,,,AMM,
HICORN,14-Aug-17,1,40-45,Symphoricarpos mollis,Shrub,15,71,40,,,AMM,
HICORN,14-Aug-17,1,40-45,Arctostaphylos patula,Shrub,52,55,30,,,AMM,
HICORN,14-Aug-17,1,40-45,Symphoricarpos mollis,Shrub,15,100,82,,,AMM,
HICORN,14-Aug-17,1,40-45,Frangula rubra,Shrub,155,97,100,,,AMM,
HICORN,14-Aug-17,1,40-45,Frangula rubra,Shrub,165,112,40,,,AMM,
HICORN,14-Aug-17,1,40-45,Frangula rubra,Shrub,160,145,150,,,AMM,
HICORN,14-Aug-17,1,40-45,Frangula rubra,Shrub,135,91,90,,,AMM,
HICORN,14-Aug-17,1,40-45,Frangula rubra,Shrub,170,140,132,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,150,115,86,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,140,135,160,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,83,75,55,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,114,98,110,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,80,80,85,,,AMM,
HICORN,14-Aug-17,1,45-50,Arctostaphylos patula,Shrub,60,90,75,,,AMM,
HICORN,14-Aug-17,1,45-50,Arctostaphylos patula,Shrub,68,75,110,,,AMM,
HICORN,14-Aug-17,1,45-50,Ceanothus cordulatus,Shrub,40,93,70,,,AMM,
HICORN,14-Aug-17,1,45-50,Arctostaphylos patula,Shrub,56,105,76,,,AMM,
HICORN,14-Aug-17,1,45-50,Arctostaphylos patula,Shrub,68,78,70,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,137,138,105,,,AMM,
HICORN,14-Aug-17,1,45-50,Arctostaphylos patula,Shrub,85,110,100,,,AMM,
HICORN,14-Aug-17,1,45-50,Ceanothus cordulatus,Shrub,99,185,170,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,95,103,85,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,128,90,88,,,AMM,
HICORN,14-Aug-17,1,45-50,Ceanothus cordulatus,Shrub,70,170,75,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,136,190,100,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,171,150,130,,,AMM,
HICORN,14-Aug-17,1,45-50,Frangula rubra,Shrub,199,100,70,,,AMM,
HICORN,14-Aug-17,1,35-40,Frangula rubra,Shrub,131,125,135,,,AMM,
HICORN,14-Aug-17,1,35-40,Frangula rubra,Shrub,198,145,120,,,AMM,
HICORN,14-Aug-17,1,35-40,Frangula rubra,Shrub,160,140,112,,,AMM,
HICORN,14-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,47,100,55,,,AMM,
HICORN,14-Aug-17,1,35-40,Frangula rubra,Shrub,118,108,105,,,AMM,
HICORN,14-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,47,125,88,,,AMM,
HICORN,14-Aug-17,1,35-40,Frangula rubra,Shrub,138,122,120,,,AMM,
HICORN,14-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,30,135,98,,,AMM,
HICORN,14-Aug-17,1,35-40,Frangula rubra,Shrub,108,62,80,,,AMM,
HICORN,14-Aug-17,1,35-40,Arctostaphylos patula,Shrub,60,33,35,,,AMM,
HICORN,14-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,50,115,65,,,AMM,
HICORN,14-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,75,103,95,,,AMM,
HICORN,14-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,47,145,134,,,AMM,
HICORN,14-Aug-17,1,30-35,Arctostaphylos patula,Shrub,50,35,24,,,AMM,
HICORN,14-Aug-17,1,30-35,Frangula rubra,Shrub,85,80,67,,,AMM,
HICORN,14-Aug-17,1,30-35,Frangula rubra,Shrub,80,90,35,,,AMM,
HICORN,14-Aug-17,1,30-35,Frangula rubra,Shrub,110,138,115,,,AMM,
HICORN,14-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,45,90,80,,,AMM,
HICORN,14-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,35,75,50,,,AMM,
HICORN,14-Aug-17,1,30-35,Arctostaphylos patula,Shrub,55,50,38,,,AMM,
HICORN,14-Aug-17,1,30-35,Frangula rubra,Shrub,132,165,140,,,AMM,
HICORN,14-Aug-17,1,30-35,Frangula rubra,Shrub,105,110,110,,,AMM,
HICORN,14-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,55,150,95,,,AMM,
HICORN,14-Aug-17,1,30-35,Frangula rubra,Shrub,108,115,85,,,AMM,
HICORN,14-Aug-17,1,30-35,Frangula rubra,Shrub,87,100,80,,,AMM,
HICORN,14-Aug-17,1,30-35,Arctostaphylos patula,Shrub,83,75,73,,,AMM,
HICORN,14-Aug-17,1,30-35,Arctostaphylos patula,Shrub,60,120,85,,,AMM,
HICORN,14-Aug-17,1,25-30,Frangula rubra,Shrub,90,60,55,,,AMM,
HICORN,14-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,25,88,65,,,AMM,
HICORN,14-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,38,120,95,,,AMM,
HICORN,14-Aug-17,1,25-30,Frangula rubra,Shrub,62,86,80,,,AMM,
HICORN,14-Aug-17,1,25-30,Frangula rubra,Shrub,112,80,85,,,AMM,
HICORN,14-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,40,65,20,,,AMM,
HICORN,14-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,25,85,35,,,AMM,
HICORN,14-Aug-17,1,25-30,Symphoricarpos mollis,Shrub,20,200,180,,,AMM,
HICORN,14-Aug-17,1,20-25,Arctostaphylos patula,Shrub,60,43,23,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,20,75,60,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,35,73,55,,,AMM,
HICORN,14-Aug-17,1,20-25,Symphoricarpos mollis,Shrub,22,65,40,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,28,125,65,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,30,90,75,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,30,85,75,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,37,160,100,,,AMM,
HICORN,14-Aug-17,1,20-25,Symphoricarpos mollis,Shrub,27,180,120,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,33,120,75,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,50,115,85,,,AMM,
HICORN,14-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,75,190,210,,,AMM,
HICORN,14-Aug-17,1,20-25,Frangula rubra,Shrub,135,160,145,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,56,45,35,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,52,73,50,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,37,50,35,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,37,67,60,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,50,53,35,,,AMM,
HICORN,14-Aug-17,1,15-20,Frangula rubra,Shrub,65,45,50,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,50,90,70,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,82,68,45,,,AMM,
HICORN,14-Aug-17,1,15-20,Frangula rubra,Shrub,47,65,50,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,30,55,45,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,45,105,90,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,43,60,27,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,35,95,70,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,58,45,20,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,62,35,25,,,AMM,
HICORN,14-Aug-17,1,15-20,Arctostaphylos patula,Shrub,55,35,30,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,55,160,155,,,AMM,
HICORN,14-Aug-17,1,15-20,Ceanothus cordulatus,Shrub,70,155,105,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,60,120,90,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,45,147,70,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,45,105,100,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,43,65,45,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,60,80,40,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,30,70,55,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,50,55,60,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,35,80,80,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,40,120,90,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,45,120,75,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,50,60,75,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,48,85,105,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,50,80,60,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,40,150,65,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,40,75,50,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,40,105,120,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,40,95,75,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,38,85,65,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,45,92,75,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Ceanothus cordulatus,Shrub,46,72,50,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,50,70,60,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,46,72,50,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,55,50,45,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,49,62,43,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,42,60,42,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,90,85,15,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,48,65,30,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,45,55,45,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,42,52,40,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,50,80,60,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,43,63,45,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,51,42,40,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,48,55,35,,,AMM,
HICORN,14-Aug-17,1,15-Oct,Arctostaphylos patula,Shrub,61,35,23,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,52,47,35,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,55,23,33,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,54,38,25,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,52,75,50,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,33,52,40,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,50,52,49,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,60,70,50,,,AMM,
HICORN,14-Aug-17,1,10-May,Ceanothus cordulatus,Shrub,49,100,55,,,AMM,
HICORN,14-Aug-17,1,10-May,Ceanothus cordulatus,Shrub,35,150,95,,,AMM,
HICORN,14-Aug-17,1,10-May,Ceanothus cordulatus,Shrub,20,85,40,,,AMM,
HICORN,14-Aug-17,1,10-May,Ceanothus cordulatus,Shrub,28,90,50,,,AMM,
HICORN,14-Aug-17,1,10-May,Ceanothus cordulatus,Shrub,30,75,30,,,AMM,
HICORN,14-Aug-17,1,10-May,Ceanothus cordulatus,Shrub,45,145,70,,,AMM,
HICORN,14-Aug-17,1,10-May,Ceanothus cordulatus,Shrub,68,260,185,,,AMM,
HICORN,14-Aug-17,1,10-May,Ceanothus cordulatus,Shrub,38,110,75,,,AMM,
HICORN,14-Aug-17,1,10-May,Ceanothus cordulatus,Shrub,40,70,80,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,53,25,18,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,51,33,15,,,AMM,
HICORN,14-Aug-17,1,10-May,Arctostaphylos patula,Shrub,50,40,25,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,45,50,30,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,49,60,50,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,55,40,30,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,54,60,45,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,55,75,55,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,55,30,23,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,55,45,35,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,50,45,25,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,50,40,30,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,40,68,45,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,58,48,30,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,49,50,35,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,59,48,35,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,53,48,30,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,50,70,50,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,23,70,50,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,35,100,65,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,22,53,45,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,30,52,45,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,28,80,55,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,22,60,25,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,55,105,85,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,20,80,40,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,28,65,75,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,40,120,115,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,55,85,60,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,48,55,50,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,55,50,40,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,51,52,48,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,41,53,30,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,49,60,45,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,57,35,45,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,47,50,35,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,100,150,170,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,75,80,65,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,51,55,35,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,60,50,25,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,85,120,70,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,60,50,45,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,55,45,25,,,AMM,
HICORN,14-Aug-17,1,0-5,Arctostaphylos patula,Shrub,70,75,48,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,32,70,45,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,45,73,43,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,49,78,50,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,35,80,35,,,AMM,
HICORN,14-Aug-17,1,0-5,Ceanothus cordulatus,Shrub,35,85,60,,,AMM,
HICORN,15-Aug-17,2,0-5,Ceanothus cordulatus,Shrub,31,55,43,,,AMM,
HICORN,15-Aug-17,2,0-5,Ceanothus cordulatus,Shrub,22,68,48,,,AMM,
HICORN,15-Aug-17,2,0-5,Ceanothus cordulatus,Shrub,25,54,73,,,AMM,
HICORN,15-Aug-17,2,0-5,Ceanothus cordulatus,Shrub,32,43,44,,,AMM,
HICORN,15-Aug-17,2,0-5,Ceanothus cordulatus,Shrub,21,74,60,,,AMM,
HICORN,15-Aug-17,2,0-5,Ceanothus cordulatus,Shrub,44,150,129,,,AMM,
HICORN,15-Aug-17,2,0-5,Ceanothus cordulatus,Shrub,22,60,63,,,AMM,
HICORN,15-Aug-17,2,0-5,Arctostaphylos patula,Shrub,53,36,30,,,AMM,
HICORN,15-Aug-17,2,0-5,Arctostaphylos patula,Shrub,46,69,43,,,AMM,
HICORN,15-Aug-17,2,0-5,Arctostaphylos patula,Shrub,50,31,30,,,AMM,
HICORN,15-Aug-17,2,0-5,Arctostaphylos patula,Shrub,51,41,38,,,AMM,
HICORN,15-Aug-17,2,0-5,Arctostaphylos patula,Shrub,70,68,63,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,13,105,50,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,24,64,70,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,24,110,115,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,23,70,73,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,19,62,70,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,15,75,80,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,29,51,65,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,20,105,100,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,16,180,125,,,AMM,
HICORN,15-Aug-17,2,0-5,Symphoricarpos mollis,Shrub,16,93,120,,,AMM,
HICORN,15-Aug-17,2,10-May,Frangula rubra,Shrub,89,38,30,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,50,36,29,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,35,80,40,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,41,63,41,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,43,52,48,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,34,80,50,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,50,60,40,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,58,41,42,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,49,61,50,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,52,53,40,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,50,31,30,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,51,48,40,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,51,38,29,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,35,44,43,,,AMM,
HICORN,15-Aug-17,2,10-May,Arctostaphylos patula,Shrub,47,60,42,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,29,51,50,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,15,70,40,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,23,50,41,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,24,40,64,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,23,60,52,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,43,60,59,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,30,54,40,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,31,50,51,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,26,101,53,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,30,105,125,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,35,88,71,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,34,50,51,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,36,88,60,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,31,63,74,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,37,82,45,,,AMM,
HICORN,15-Aug-17,2,10-May,Ceanothus cordulatus,Shrub,31,85,62,,,AMM,
