Site,Transect,Meter,Raw_data_entry,Species,Type,cover,Max_height_cm,Avg_height_cm,Comments,Entered by,Daniel
GRNWOO,1,20,Woody Litter,BLANK,Woody litter,25,4,1,,JMP,
GRNWOO,1,25,Quercus kelloggii Seedling,Quercus kelloggii,Tree,1,10,10,seedling,JMP,
GRNWOO,1,25,calocedrus decurrens,Calocedrus decurrens,Tree,9,67,67,,JMP,
GRNWOO,1,25,Soft Loose Litter,BLANK,Soft loose litter,70,2,1,,JMP,
GRNWOO,1,25,Woody Litter,BLANK,Woody litter,30,2,1,,JMP,
GRNWOO,1,30,Soft Loose Litter,BLANK,Soft loose litter,90,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,1,30,Woody Litter,BLANK,Woody litter,7,4,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,1,30,Bare Ground ,BLANK,Bare Ground,3,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNWOO,1,35,Vicia americana,Vicia americana,Dominant forb,1,17,10,,JMP,
GRNWOO,1,35,Forbs,BLANK,Forbs,1,16,8,,JMP,"In cover, T was replaced by 1"
GRNWOO,1,35,Grasses,BLANK,Grass,3,92,35,,JMP,
GRNWOO,1,35,Ceanothus integerrimus,Ceanothus integerrimus,Shrub,8,103,103,,JMP,
GRNWOO,1,35,Soft Loose Litter,BLANK,Soft loose litter,90,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,1,35,Woody Litter,BLANK,Woody litter,7,5,2,,JMP,
GRNWOO,1,35,Bare Ground ,BLANK,Bare Ground,3,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNWOO,1,40,Abies concolor,Abies concolor,Tree,6,NA,NA,intact,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNWOO,1,40,Soft Loose Litter,BLANK,Soft loose litter,75,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,1,40,Woody Litter,BLANK,Woody litter,25,37,1,,JMP,
GRNWOO,1,45,Vicia americana,Vicia americana,Dominant forb,1,4,4,,JMP,"In cover, T was replaced by 1"
GRNWOO,1,45,calocedrus decurrens,Calocedrus decurrens,Tree,13,139,139,,JMP,
GRNWOO,1,45,Tree-dead,UNKNOWN,Tree,20,NA,NA,"Abies concolor, intact",JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNWOO,1,45,Soft Loose Litter,BLANK,Soft loose litter,90,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,1,45,Woody Litter,BLANK,Woody litter,10,6,1,,JMP,
GRNWOO,2,0,Trientalis latifolia ,Trientalis latifolia,Dominant forb,1,4,4,,JMP,"In cover, T was replaced by 1"
GRNWOO,2,0,Grasses,BLANK,Grass,1,17,7,,JMP,"In cover, T was replaced by 1"
GRNWOO,2,0,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,1,6,6,Seedling,JMP,"In cover, T was replaced by 1"
GRNWOO,2,0,Tree,UNKNOWN,Tree,1,3,3,"sapling, unknown",JMP,"In cover, T was replaced by 1"
GRNWOO,2,0,Woody Litter,BLANK,Woody litter,3,2,1,,JMP,
GRNWOO,2,0,Bare Ground ,BLANK,Bare Ground,3,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNWOO,2,0,Soft Loose Litter,BLANK,Soft loose litter,94,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,5,Grasses,BLANK,Grass,1,40,10,,JMP,
GRNWOO,2,5,Woody Litter,BLANK,Woody litter,25,19,1,,JMP,
GRNWOO,2,5,Soft Loose Litter,BLANK,Soft loose litter,75,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNWOO,2,10,Bare Ground ,BLANK,Bare Ground,2,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNWOO,2,10,Woody Litter,BLANK,Woody litter,6,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, MD was replaced by NA"
GRNWOO,2,10,Soft Loose Litter,BLANK,Soft loose litter,92,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, MD was replaced by NA"
GRNWOO,2,15,Tree,UNKNOWN,Tree,1,5,5,unknown conifer seedling,JMP,"In cover, T was replaced by 1"
GRNWOO,2,15,Woody Litter,BLANK,Woody litter,40,7,1,,JMP,
GRNWOO,2,15,Soft Loose Litter,BLANK,Soft loose litter,60,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,20,calocedrus decurrens,Calocedrus decurrens,Tree,1,77,77,,JMP,
GRNWOO,2,20,Woody Litter,BLANK,Woody litter,12,2,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,20,Woody Litter,BLANK,Woody litter,88,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,25,Viola lobata,Viola lobata,Dominant forb,1,6,6,,JMP,"In cover, T was replaced by 1"
GRNWOO,2,25,Forbs,BLANK,Forbs,1,14,14,,JMP,"In cover, T was replaced by 1"
GRNWOO,2,25,Tree,UNKNOWN,Tree,1,3,3,unknown conifer seedling,JMP,"In cover, T was replaced by 1"
GRNWOO,2,25,Woody Litter,BLANK,Woody litter,8,5,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,25,Soft Loose Litter,BLANK,Soft loose litter,92,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,30,Woody Litter,BLANK,Woody litter,10,7,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,30,Soft Loose Litter,BLANK,Soft loose litter,90,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,35,Viola lobata,Viola lobata,Dominant forb,1,6,6,,JMP,"In cover, T was replaced by 1"
GRNWOO,2,35,Symphoricarpos mollis ,Symphoricarpos mollis,Shrub,1,13,13,,JMP,
GRNWOO,2,35,Woody Litter,BLANK,Woody litter,12,5,1,,JMP,
GRNWOO,2,35,Soft Loose Litter,BLANK,Soft loose litter,88,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,40,Pinus ponderosa,Pinus ponderosa,Tree,25,NA,1,,JMP,"In Max_height_cm , ""-"" was replaced by NA. In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,40,Woody Litter,BLANK,Woody litter,15,12,1,,JMP,
GRNWOO,2,40,Soft Loose Litter,BLANK,Soft loose litter,60,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
GRNWOO,2,45,Woody Litter,BLANK,Woody litter,9,15,1,,JMP,
GRNWOO,2,45,Pinaceae spp. Seedling,Pinaceae,Tree,1,4,4,Seedling,JMP,"In cover, T was replaced by 1"
GRNWOO,2,45,Soft Loose Litter,BLANK,Soft loose litter,91,1,1,,JMP,"In Avg_height_cm , <1 was replaced by 1"
HIBADR,1,0,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,80,162,106,,BL,
HIBADR,1,0,Rock,BLANK,Rocks,5,4,2,,BL,
HIBADR,1,0,Soft Loose Litter,BLANK,Soft loose litter,40,1,1,,BL,
HIBADR,1,0,Bare Ground ,BLANK,Bare Ground,20,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,0,Grasses,BLANK,Grass,2,66,50,(G),BL,
HIBADR,1,5,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,20,128,100,,BL,
HIBADR,1,5,Rock,BLANK,Rocks,70,86,30,,BL,
HIBADR,1,5,Bare Ground ,BLANK,Bare Ground,25,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,5,Soft Rooted Litter,BLANK,Soft rooted litter,4,81,75,,BL,
HIBADR,1,5,Soft Loose Litter,BLANK,Soft loose litter,7,1,1,,BL,
HIBADR,1,10,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,50,132,95,,BL,
HIBADR,1,10,Soft Loose Litter,BLANK,Soft loose litter,10,2,1,,BL,
HIBADR,1,10,Rock,BLANK,Rocks,50,3,1,,BL,
HIBADR,1,10,Bare Ground ,BLANK,Bare Ground,40,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,10,Soft Rooted Litter,BLANK,Soft rooted litter,1,45,40,,BL,"In cover, T was replaced by 1"
HIBADR,1,15,spindle flower,UNKNOWN,Dominant forb,4,44,36,,BL,
HIBADR,1,15,Forbs,BLANK,Forbs,2,12,8,,BL,
HIBADR,1,15,Grasses,BLANK,Grass,1,30,20,,BL,
HIBADR,1,15,Bare Ground ,BLANK,Bare Ground,73,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,15,Rock,BLANK,Rocks,7,4,4,,BL,
HIBADR,1,15,Soft Rooted Litter,BLANK,Soft rooted litter,3,11,8,,BL,
HIBADR,1,15,Char,BLANK,Char,10,53,45,,BL,
HIBADR,1,20,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,20,118,95,,BL,
HIBADR,1,20,Mountain misery,Chamaebatia sp.,Shrub,25,26,20,,BL,
HIBADR,1,20,Grasses,BLANK,Grass,4,39,30,,BL,
HIBADR,1,20,Bare Ground ,BLANK,Bare Ground,30,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,20,Rock,BLANK,Rocks,6,2,2,,BL,
HIBADR,1,20,Soft Loose Litter,BLANK,Soft loose litter,5,1,1,,BL,
HIBADR,1,25,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,55,89,65,,BL,
HIBADR,1,25,Grasses,BLANK,Grass,7,52,50,,BL,
HIBADR,1,25,Rock,BLANK,Rocks,8,4,4,,BL,
HIBADR,1,25,Soft Loose Litter,BLANK,Soft loose litter,5,1,1,,BL,
HIBADR,1,25,Bare Ground ,BLANK,Bare Ground,25,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,25,Woody Litter,BLANK,Woody litter,1,2,1,,BL,"In cover, T was replaced by 1"
HIBADR,1,30,Grasses,BLANK,Grass,3,56,50,,BL,
HIBADR,1,30,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,20,86,75,,BL,
HIBADR,1,30,Woody Litter,BLANK,Woody litter,5,1,1,,BL,
HIBADR,1,30,Char,BLANK,Char,10,15,10,,BL,
HIBADR,1,30,Bare Ground ,BLANK,Bare Ground,38,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,30,Rock,BLANK,Rocks,15,7,3,,BL,
HIBADR,1,30,Soft Loose Litter,BLANK,Soft loose litter,4,1,1,,BL,
HIBADR,1,30,Soft Rooted Litter,BLANK,Soft rooted litter,5,33,20,,BL,
HIBADR,1,35,Soft Rooted Litter,BLANK,Soft rooted litter,10,60,25,,BL,
HIBADR,1,35,Char,BLANK,Char,62,45,40,,BL,
HIBADR,1,35,Bare Ground ,BLANK,Bare Ground,23,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,35,Rock,BLANK,Rocks,5,3,2,,BL,
HIBADR,1,35,Soft Loose Litter,BLANK,Soft loose litter,1,1,1,,BL,"In cover, T was replaced by 1. In Max_height_cm and Avg_height_cm, <1 was replaced by 1"
HIBADR,1,40,Mountain misery,Chamaebatia sp.,Shrub,25,31,22,,BL,
HIBADR,1,40,Soft Rooted Litter,BLANK,Soft rooted litter,3,68,50,,BL,
HIBADR,1,40,Rock,BLANK,Rocks,15,5,2,,BL,
HIBADR,1,40,Bare Ground ,BLANK,Bare Ground,57,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,40,Woody Litter,BLANK,Woody litter,1,1,1,,BL,"In cover, T was replaced by 1. In Max_height_cm and Avg_height_cm, <1 was replaced by 1"
HIBADR,1,45,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,60,95,80,,BL,
HIBADR,1,45,Mountain misery,Chamaebatia sp.,Shrub,15,27,20,,BL,
HIBADR,1,45,Rock,BLANK,Rocks,55,42,15,,BL,
HIBADR,1,45,Grasses,BLANK,Grass,1,39,39,,BL,
HIBADR,1,45,Bare Ground ,BLANK,Bare Ground,38,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,1,45,Soft Loose Litter,BLANK,Soft loose litter,1,1,1,,BL,"In cover, T was replaced by 1. In Max_height_cm and Avg_height_cm, <1 was replaced by 1"
HIBADR,1,45,Char,BLANK,Char,6,10,9,,BL,
HIBADR,2,0,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,50,170,90,,BL,
HIBADR,2,0,Rock,BLANK,Rocks,20,13,6,,BL,
HIBADR,2,0,Woody Litter,BLANK,Woody litter,1,1,1,,BL,"In cover, T was replaced by 1"
HIBADR,2,0,Bare Ground ,BLANK,Bare Ground,1,NA,NA,,BL,"In cover, T was replaced by 1. In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,0,Soft Loose Litter,BLANK,Soft loose litter,30,2,1,,BL,
HIBADR,2,5,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,60,150,88,,BL,
HIBADR,2,5,Soft Rooted Litter,BLANK,Soft rooted litter,3,4,4,,BL,
HIBADR,2,5,Char,BLANK,Char,5,1,1,,BL,
HIBADR,2,5,Woody Litter,BLANK,Woody litter,1,1,1,,BL,
HIBADR,2,5,Rock,BLANK,Rocks,4,3,2,,BL,
HIBADR,2,5,Bare Ground ,BLANK,Bare Ground,6,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,5,Soft Loose Litter,BLANK,Soft loose litter,20,1,1,,BL,
HIBADR,2,10,epilobium sp,Epilobium sp.,Dominant forb,5,146,130,,BL,
HIBADR,2,10,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,90,250,200,,BL,
HIBADR,2,10,Forbs,BLANK,Forbs,1,118,100,,BL,
HIBADR,2,10,Soft Loose Litter,BLANK,Soft loose litter,33,1,1,,BL,
HIBADR,2,10,Bare Ground ,BLANK,Bare Ground,60,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,10,Rock,BLANK,Rocks,2,2,1,,BL,
HIBADR,2,15,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,100,190,110,,BL,
HIBADR,2,15,Soft Loose Litter,BLANK,Soft loose litter,85,2,1,,BL,
HIBADR,2,15,Rock,BLANK,Rocks,3,2,1,,BL,
HIBADR,2,15,Woody Litter,BLANK,Woody litter,3,1,1,,BL,
HIBADR,2,15,Bare Ground ,BLANK,Bare Ground,9,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,20,Pea-like forb,UNKNOWN,Dominant forb,1,55,50,,BL,
HIBADR,2,20,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,80,230,140,,BL,
HIBADR,2,20,Soft Loose Litter,BLANK,Soft loose litter,56,1,1,,BL,
HIBADR,2,20,Bare Ground ,BLANK,Bare Ground,35,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,20,Rock,BLANK,Rocks,4,2,1,,BL,
HIBADR,2,20,Woody Litter,BLANK,Woody litter,5,1,1,,BL,
HIBADR,2,25,light fuzzy,UNKNOWN,Dominant forb,3,50,30,,BL,
HIBADR,2,25,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,75,200,110,,BL,
HIBADR,2,25,Woody Litter,BLANK,Woody litter,3,2,1,,BL,
HIBADR,2,25,Rock,BLANK,Rocks,6,2,1,,BL,
HIBADR,2,25,Bare Ground ,BLANK,Bare Ground,4,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,25,Soft Loose Litter,BLANK,Soft loose litter,87,1,1,,BL,
HIBADR,2,30,Forbs,BLANK,Forbs,10,165,140,,BL,
HIBADR,2,30,gayophytem?,Gayophytum sp.,Dominant forb,45,126,95,,BL,
HIBADR,2,30,Soft Rooted Litter,BLANK,Soft rooted litter,30,12,8,,BL,
HIBADR,2,30,Bare Ground ,BLANK,Bare Ground,5,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,30,Rock,BLANK,Rocks,10,3,2,,BL,
HIBADR,2,35,Verbascum thapsus,Verbascum thapsus,Dominant forb,8,142,110,,BL,
HIBADR,2,35,ceanothus integerrimus ,Ceanothus integerrimus,Shrub,45,136,94,,BL,
HIBADR,2,35,Quercus kelloggii regrowth,Quercus kelloggii,Tree,6,115,91,,BL,
HIBADR,2,35,Rock,BLANK,Rocks,35,28,19,,BL,
HIBADR,2,35,Soft Loose Litter,BLANK,Soft loose litter,4,1,1,,BL,
HIBADR,2,35,Bare Ground ,BLANK,Bare Ground,15,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,35,Woody Litter,BLANK,Woody litter,4,1,1,,BL,
HIBADR,2,40,Verbascum thapsus,Verbascum thapsus,Dominant forb,8,170,140,,BL,
HIBADR,2,40,Forbs,BLANK,Forbs,1,104,75,,BL,
HIBADR,2,40,Quercus kelloggii,Quercus kelloggii,Tree,15,120,98,regrowth,BL,
HIBADR,2,40,Rock,BLANK,Rocks,10,3,2,,BL,
HIBADR,2,40,Soft Rooted Litter,BLANK,Soft rooted litter,3,62,20,,BL,
HIBADR,2,40,Bare Ground ,BLANK,Bare Ground,76,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,40,Woody Litter,BLANK,Woody litter,2,1,1,,BL,
HIBADR,2,45,Verbascum thapsus,Verbascum thapsus,Dominant forb,12,260,260,,BL,
HIBADR,2,45,Forbs,BLANK,Forbs,1,9,5,,BL,
HIBADR,2,45,Woody Litter,BLANK,Woody litter,1,1,1,,BL,"In cover, T was replaced by 1"
HIBADR,2,45,Bare Ground ,BLANK,Bare Ground,55,NA,NA,,BL,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HIBADR,2,45,Rock,BLANK,Rocks,30,3,2,,BL,
HIBADR,2,45,Soft Rooted Litter,BLANK,Soft rooted litter,2,53,20,,BL,
HICAMP,1,0,unknown forb - purple flower,UNKNOWN,Dominant forb,40,12,7,paralell leaves,MJH,
HICAMP,1,0,Forbs,BLANK,Forbs,30,20,10,,MJH,
HICAMP,1,0,Grasses,BLANK,Grass,15,61,16,,MJH,
HICAMP,1,0,Soft Loose Litter,BLANK,Soft loose litter,2,1,1,,MJH,
HICAMP,1,0,Woody Litter,BLANK,Woody litter,2,1,1,,MJH,
HICAMP,1,0,Rock,BLANK,Rocks,10,1,1,,MJH,
HICAMP,1,0,Bare Ground ,BLANK,Bare Ground,86,NA,NA,,MJH,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HICAMP,1,5,dom forb - purple cluster,UNKNOWN,Dominant forb,25,25,9,"indecipherable text, CHECK DATASHEET",MJH,
HICAMP,1,5,Forbs,BLANK,Forbs,12.5,44,5,,MJH,
HICAMP,1,5,Grasses,BLANK,Grass,3,62,22,,MJH,
HICAMP,1,5,Arctostaphylos sp.,Arctostaphylos sp.,Shrub,6,32,15,,MJH,
HICAMP,1,5,Soft Loose Litter,BLANK,Soft loose litter,1,1,0,,MJH,"In cover, T was replaced by 1"
HICAMP,1,5,Soft Rooted Litter,BLANK,Soft rooted litter,10,3,3,,MJH,
HICAMP,1,5,Woody Litter,BLANK,Woody litter,8,3,2,,MJH,
HICAMP,1,5,Rock,BLANK,Rocks,1,1,1,,MJH,"In cover, T was replaced by 1"
HICAMP,1,5,Bare Ground ,BLANK,Bare Ground,81,0,0,,MJH,
HICAMP,1,10,dom forb - non flowering,UNKNOWN,Dominant forb,10,34,12,,MJH,
HICAMP,1,10,Soft Loose Litter,BLANK,Soft loose litter,2,3,2,,MJH,
HICAMP,1,10,Soft Rooted Litter,BLANK,Soft rooted litter,4,1,1,,MJH,
HICAMP,1,10,Woody Litter,BLANK,Woody litter,3,1,1,,MJH,
HICAMP,1,10,Char,BLANK,Char,4,2,2,,MJH,
HICAMP,1,10,Rock,BLANK,Rocks,50,1,1,,MJH,
HICAMP,1,10,Bare Ground ,BLANK,Bare Ground,37,0,0,,MJH,
HICAMP,1,15,dom forb - non flowering,UNKNOWN,Dominant forb,1,25,25,,MJH,"In cover, T was replaced by 1"
HICAMP,1,15,Pine Sapling,Pinus sp.,Tree,1,3,3,10 seedlings,MJH,
HICAMP,1,15,Soft Rooted Litter,BLANK,Soft rooted litter,15,1,1,,MJH,
HICAMP,1,15,Woody Litter,BLANK,Woody litter,12,18,1,,MJH,
HICAMP,1,15,Char,BLANK,Char,4,6,6,,MJH,
HICAMP,1,15,Rock,BLANK,Rocks,18,12,2,,MJH,
HICAMP,1,15,Bare Ground ,BLANK,Bare Ground,51,0,0,,MJH,
HICAMP,1,20,"DF-circular seed pods, long serrated ground leaves (white flowers on top)",UNKNOWN,Dominant forb,2,48,37,,MJH,
HICAMP,1,20,Forbs,BLANK,Forbs,1,50,30,,MJH,"In cover, T was replaced by 1"
HICAMP,1,20,Soft Loose Litter,BLANK,Soft loose litter,1,1,1,,MJH,
HICAMP,1,20,Soft Rooted Litter,BLANK,Soft rooted litter,45,1,1,moss,MJH,
HICAMP,1,20,Woody Litter,BLANK,Woody litter,30,100,1,,MJH,
HICAMP,1,20,Char,BLANK,Char,3,1,1,,MJH,
HICAMP,1,20,Rock,BLANK,Rocks,7,0,0,,MJH,
HICAMP,1,20,Bare Ground ,BLANK,Bare Ground,3,0,0,,MJH,
HICAMP,1,25,dom forb - non flowering,UNKNOWN,Dominant forb,3,50,30,,MJH,
HICAMP,1,25,Soft Loose Litter,BLANK,Soft loose litter,2,1,1,,MJH,
HICAMP,1,25,Soft Rooted Litter,BLANK,Soft rooted litter,12,1,1,,MJH,
HICAMP,1,25,Woody Litter,BLANK,Woody litter,5,1,1,,MJH,
HICAMP,1,25,Char,BLANK,Char,4,15,1,,MJH,
HICAMP,1,25,Rock,BLANK,Rocks,8,7,1,,MJH,
HICAMP,1,25,Bare Ground ,BLANK,Bare Ground,66,0,0,,MJH,
HICAMP,1,30,dom forb - non flowering,UNKNOWN,Dominant forb,2,67,24,,MJH,
HICAMP,1,30,Forbs,BLANK,Forbs,1,NA,NA,,MJH,"In cover, T was replaced by 1. In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HICAMP,1,30,ceanothus cordulatus,Ceanothus cordulatus,Shrub,20,25,10,,MJH,
HICAMP,1,30,Soft Loose Litter,BLANK,Soft loose litter,3,1,1,,MJH,
HICAMP,1,30,Soft Rooted Litter,BLANK,Soft rooted litter,15,1,1,,MJH,
HICAMP,1,30,Woody Litter,BLANK,Woody litter,6,45,1,,MJH,
HICAMP,1,30,Rock,BLANK,Rocks,25,19,4,,MJH,
HICAMP,1,30,Bare Ground ,BLANK,Bare Ground,51,0,0,,MJH,
HICAMP,1,35,dom forb - non flowering,UNKNOWN,Dominant forb,2,42,20,,MJH,
HICAMP,1,35,Forbs,BLANK,Forbs,1,15,10,,MJH,"In cover, T was replaced by 1"
HICAMP,1,35,ceanothus cordulatus,Ceanothus cordulatus,Shrub,1,32,32,,MJH,"In cover, T was replaced by 1"
HICAMP,1,35,Soft Rooted Litter,BLANK,Soft rooted litter,15,1,1,,MJH,
HICAMP,1,35,Woody Litter,BLANK,Woody litter,50,80,4,down tree,MJH,
HICAMP,1,35,Rock,BLANK,Rocks,12,37,4,,MJH,
HICAMP,1,35,Bare Ground ,BLANK,Bare Ground,23,0,0,,MJH,
HICAMP,1,40,"DF-tall, spindly, pink/white flower, leaves in groups of 3",UNKNOWN,Dominant forb,6,25,15,,MJH,
HICAMP,1,40,"DF 2- fuzzy leaves, yellow flowers",UNKNOWN,Dominant forb,6,14,12,,MJH,
HICAMP,1,40,Arctostaphylos sp.,Arctostaphylos sp.,Shrub,3,30,20,,MJH,
HICAMP,1,40,ceanothus cordulatus,Ceanothus cordulatus,Shrub,20,25,12,,MJH,
HICAMP,1,40,Ribes sp.,Ribes sp.,Shrub,4,21,15,,MJH,
HICAMP,1,40,"serrated long leaves, UNKSHR1",UNKNOWN,Shrub,5,47,30,,MJH,
HICAMP,1,40,Grasses,BLANK,Grass,3,24,15,,MJH,
HICAMP,1,40,Soft Rooted Litter,BLANK,Soft rooted litter,15,1,1,,MJH,
HICAMP,1,40,Woody Litter,BLANK,Woody litter,9,21,2,,MJH,
HICAMP,1,40,Bare Ground ,BLANK,Bare Ground,75,NA,NA,,MJH,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HICAMP,1,45,"DF-reddish leaves, parallel serrated leaves, pink/white flower",UNKNOWN,Dominant forb,5,79,40,,MJH,
HICAMP,1,45,Forbs,BLANK,Forbs,3,50,30,,MJH,
HICAMP,1,45,Soft Loose Litter,BLANK,Soft loose litter,4,1,1,,MJH,
HICAMP,1,45,Soft Rooted Litter,BLANK,Soft rooted litter,3,1,1,,MJH,
HICAMP,1,45,Woody Litter,BLANK,Woody litter,40,89,4,,MJH,
HICAMP,1,45,calocedrus decurrens,Calocedrus decurrens,Tree,2,NA,NA,,MJH,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
HICAMP,1,45,Char,BLANK,Char,4,1,1,,MJH,
HICAMP,1,45,Rock,BLANK,Rocks,1,1,1,,MJH,"In cover, T was replaced by 1"
HICAMP,1,45,Bare Ground ,BLANK,Bare Ground,48,0,0,,MJH,
HICAMP,2,0,DF-soft purple flower,UNKNOWN,Dominant forb,5,20,10,,MJH,
HICAMP,2,0,Forbs,BLANK,Forbs,3,15,7,,MJH,
HICAMP,2,0,Arctostaphylos sp.,Arctostaphylos sp.,Shrub,3,30,17,,MJH,
HICAMP,2,0,Grasses,BLANK,Grass,4,74,22,,MJH,
HICAMP,2,0,Quercus kelloggii Sapling,Quercus kelloggii,Tree,1,5,5,Quercus kelloggii Sapling,MJH,"In cover, T was replaced by 1"
HICAMP,2,0,Soft Loose Litter,BLANK,Soft loose litter,1,0,0,,MJH,"In cover, T was replaced by 1"
HICAMP,2,0,Soft Rooted Litter,BLANK,Soft rooted litter,1,7,7,,MJH,"In cover, T was replaced by 1"
HICAMP,2,0,Woody Litter,BLANK,Woody litter,6,70,2,,MJH,
HICAMP,2,0,Rock,BLANK,Rocks,7,1,1,,MJH,
HICAMP,2,0,Bare Ground ,BLANK,Bare Ground,87,0,0,,MJH,
HICAMP,2,5,DF-soft purple flower,UNKNOWN,Dominant forb,25,20,11,,MJH,
HICAMP,2,5,Forbs,BLANK,Forbs,2,31,7,,MJH,
HICAMP,2,5,Arctostaphylos sp.,Arctostaphylos sp.,Shrub,35,70,40,,MJH,
HICAMP,2,5,shrub,UNKNOWN,Shrub,4,14,6,,MJH,
HICAMP,2,5,Hemizonella minima,Hemizonella minima,Dominant forb,1,7,7,,MJH,"In cover, T was replaced by 1"
HICAMP,2,5,collinsia sp.,Collinsia sp.,Dominant forb,1,14,10,,MJH,"In cover, T was replaced by 1"
HICAMP,2,5,Soft Rooted Litter,BLANK,Soft rooted litter,2,1,1,,MJH,
HICAMP,2,5,Woody Litter,BLANK,Woody litter,4,40,10,,MJH,
HICAMP,2,5,Char,BLANK,Char,2,5,1,,MJH,
HICAMP,2,5,Rock,BLANK,Rocks,10,1,1,,MJH,
